section_type,section_number,class_number,open_seats,total_seats,reserved,percent,timestamp
IND,01,1412,1,2,No,50,"2021-07-20 20:03:58.509182"
IND,02,1413,2,2,No,0,"2021-07-20 20:03:58.509190"
IND,03,1414,2,2,No,0,"2021-07-20 20:03:58.509199"
IND,04,1415,7,7,No,0,"2021-07-20 20:03:58.509208"
IND,05,1416,2,2,No,0,"2021-07-20 20:03:58.509216"
IND,06,1417,2,2,No,0,"2021-07-20 20:03:58.509224"
IND,07,1418,18,18,No,0,"2021-07-20 20:03:58.509233"
IND,08,1419,2,2,No,0,"2021-07-20 20:03:58.509243"
IND,09,1420,2,2,No,0,"2021-07-20 20:03:58.509251"
IND,10,1421,2,2,No,0,"2021-07-20 20:03:58.509260"
IND,11,1422,2,2,No,0,"2021-07-20 20:03:58.509269"
IND,12,1423,5,5,No,0,"2021-07-20 20:03:58.509277"
IND,13,1424,2,2,No,0,"2021-07-20 20:03:58.509285"
IND,14,1425,2,2,No,0,"2021-07-20 20:03:58.509294"
IND,15,1426,2,2,No,0,"2021-07-20 20:03:58.509302"
IND,16,1427,2,2,No,0,"2021-07-20 20:03:58.509310"
IND,17,1428,2,2,No,0,"2021-07-20 20:03:58.509320"
IND,18,1429,2,2,No,0,"2021-07-20 20:03:58.509328"
IND,19,1430,2,2,No,0,"2021-07-20 20:03:58.509338"
IND,20,1431,2,2,No,0,"2021-07-20 20:03:58.509346"
IND,21,1432,2,2,No,0,"2021-07-20 20:03:58.509355"
IND,22,1433,2,2,No,0,"2021-07-20 20:03:58.509364"
IND,23,1434,2,2,No,0,"2021-07-20 20:03:58.509374"
IND,24,1435,2,2,No,0,"2021-07-20 20:03:58.509383"
IND,25,1436,2,2,No,0,"2021-07-20 20:03:58.509390"
IND,26,1437,2,2,No,0,"2021-07-20 20:03:58.509401"
IND,27,1438,2,2,No,0,"2021-07-20 20:03:58.509411"
IND,28,1439,2,2,No,0,"2021-07-20 20:03:58.509421"
IND,29,1440,2,2,No,0,"2021-07-20 20:03:58.509429"
IND,30,1441,2,2,No,0,"2021-07-20 20:03:58.509436"
IND,31,1442,1,1,No,0,"2021-07-20 20:03:58.509445"
IND,32,1443,1,1,No,0,"2021-07-20 20:03:58.509453"
IND,33,1444,1,1,No,0,"2021-07-20 20:03:58.509461"
IND,34,1445,1,1,No,0,"2021-07-20 20:03:58.509470"
IND,35,1446,1,1,No,0,"2021-07-20 20:03:58.509485"
Lecture,01,4842,2,25,No,92,"2021-07-20 20:03:58.509495"
Lecture,01,4844,0,40,No,100,"2021-07-20 20:03:58.509505"
Lecture,001,5278,34,45,No,24.4444444444444,"2021-07-20 20:17:39.746569"
Discussion,01D,9714,34,45,No,24.4444444444444,"2021-07-20 20:17:39.746668"
Lecture,01,5169,17,40,No,57.5,"2021-07-20 20:17:39.746681"
Lecture,01,5275,0,18,No,100,"2021-07-20 20:17:39.746693"
Lecture,001,5223,6,230,No,97.3913043478261,"2021-07-20 20:17:39.746703"
Laboratory,01L,5224,0,24,No,100,"2021-07-20 20:17:39.746713"
Laboratory,02L,5225,0,26,No,100,"2021-07-20 20:17:39.746746"
Laboratory,03L,5226,0,24,No,100,"2021-07-20 20:17:39.746767"
Laboratory,04L,5227,0,24,No,100,"2021-07-20 20:17:39.746775"
Laboratory,05L,5228,0,26,No,100,"2021-07-20 20:17:39.746786"
Laboratory,06L,5229,0,26,No,100,"2021-07-20 20:17:39.746797"
Laboratory,07L,5230,0,26,No,100,"2021-07-20 20:17:39.746807"
Laboratory,08L,5231,4,26,No,84.6153846153846,"2021-07-20 20:17:39.746816"
Laboratory,09L,5232,0,26,No,100,"2021-07-20 20:17:39.746823"
Lecture,01,7420,12,40,No,70,"2021-07-20 20:17:39.746832"
SEM,01,4966,0,18,No,100,"2021-07-20 20:17:39.746842"
Lecture,01,5272,0,40,No,100,"2021-07-20 20:17:39.746850"
Lecture,001,5170,71,325,No,78.1538461538461,"2021-07-20 20:17:39.746859"
Lecture,002,5171,53,225,No,76.4444444444444,"2021-07-20 20:17:39.746868"
Discussion,01D,5172,0,25,No,100,"2021-07-20 20:17:39.746875"
Discussion,02D,5173,0,30,No,100,"2021-07-20 20:17:39.746883"
Discussion,03D,5174,0,26,No,100,"2021-07-20 20:17:39.746894"
Discussion,04D,5175,0,26,No,100,"2021-07-20 20:17:39.746903"
Discussion,05D,5176,0,24,No,100,"2021-07-20 20:17:39.746913"
Discussion,06D,5177,0,26,No,100,"2021-07-20 20:17:39.746923"
Discussion,07D,5178,0,24,No,100,"2021-07-20 20:17:39.746932"
Discussion,08D,5179,1,26,No,96.1538461538462,"2021-07-20 20:17:39.746940"
Discussion,09D,5180,6,26,No,76.9230769230769,"2021-07-20 20:17:39.746948"
Discussion,10D,5181,3,26,No,88.4615384615385,"2021-07-20 20:17:39.746956"
Discussion,11D,5182,5,30,No,83.3333333333333,"2021-07-20 20:17:39.746965"
Discussion,12D,5183,5,30,No,83.3333333333333,"2021-07-20 20:17:39.746974"
Discussion,13D,5184,7,30,No,76.6666666666667,"2021-07-20 20:17:39.746983"
Discussion,14D,5185,6,26,No,76.9230769230769,"2021-07-20 20:17:39.746990"
Discussion,15D,5186,6,24,No,75,"2021-07-20 20:17:39.746999"
Discussion,16D,5187,15,26,No,42.3076923076923,"2021-07-20 20:17:39.747008"
Discussion,17D,5188,17,26,No,34.6153846153846,"2021-07-20 20:17:39.747016"
Discussion,18D,5189,0,26,No,100,"2021-07-20 20:17:39.747024"
Discussion,19D,5190,16,26,No,38.4615384615385,"2021-07-20 20:17:39.747033"
Discussion,20D,5191,16,26,No,38.4615384615385,"2021-07-20 20:17:39.747043"
Lecture,001,5279,93,200,No,53.5,"2021-07-20 20:17:39.747052"
Discussion,01D,5280,0,22,No,100,"2021-07-20 20:17:39.747061"
Discussion,02D,5281,13,24,No,45.8333333333333,"2021-07-20 20:17:39.747070"
Discussion,03D,5282,13,24,No,45.8333333333333,"2021-07-20 20:17:39.747079"
Discussion,04D,5283,10,24,No,58.3333333333333,"2021-07-20 20:17:39.747087"
Discussion,05D,5284,13,26,No,50,"2021-07-20 20:17:39.747095"
Discussion,06D,5285,8,24,No,66.6666666666667,"2021-07-20 20:17:39.747104"
Discussion,07D,5286,18,26,No,30.7692307692308,"2021-07-20 20:17:39.747113"
Discussion,08D,5287,17,24,No,29.1666666666667,"2021-07-20 20:17:39.747121"
Discussion,09D,5288,20,25,No,20,"2021-07-20 20:17:39.747130"
Lecture,01,5243,14,190,No,92.6315789473684,"2021-07-20 20:17:39.747139"
Lecture,001,5235,5,190,No,97.3684210526316,"2021-07-20 20:17:39.747149"
Discussion,01D,5236,5,35,No,85.7142857142857,"2021-07-20 20:17:39.747158"
Discussion,02D,5237,1,30,No,96.6666666666667,"2021-07-20 20:17:39.747166"
Discussion,03D,5238,4,30,No,86.6666666666667,"2021-07-20 20:17:39.747176"
Discussion,04D,5239,0,30,No,100,"2021-07-20 20:17:39.747187"
Discussion,05D,5240,0,35,No,100,"2021-07-20 20:17:39.747197"
Discussion,06D,10678,5,40,No,87.5,"2021-07-20 20:17:39.747207"
Lecture,01,5277,7,30,Yes,76.6666666666667,"2021-07-20 20:17:39.747219"
Lecture,001,7096,52,150,No,65.3333333333333,"2021-07-20 20:17:39.747230"
Discussion,01D,7097,0,25,No,100,"2021-07-20 20:17:39.747240"
Discussion,02D,7098,8,25,No,68,"2021-07-20 20:17:39.747249"
Discussion,03D,7099,11,25,No,56.0,"2021-07-20 20:17:39.747259"
Discussion,04D,7100,2,25,No,92,"2021-07-20 20:17:39.747269"
Discussion,05D,7101,13,25,No,48,"2021-07-20 20:17:39.747277"
Discussion,06D,7102,18,25,No,28.0,"2021-07-20 20:17:39.747286"
Lecture,01,5200,0,30,No,100,"2021-07-20 20:17:39.747961"
Lecture,02,5201,14,40,No,65,"2021-07-20 20:17:39.747997"
Lecture,001,5249,32,98,No,67.3469387755102,"2021-07-20 20:17:39.748008"
Discussion,01D,5250,33,99,No,66.6666666666667,"2021-07-20 20:17:39.748016"
Lecture,001,5192,60,150,No,60,"2021-07-20 20:17:39.748024"
Discussion,01D,5193,60,150,No,60,"2021-07-20 20:17:39.748033"
Lecture,01,5234,0,300,No,100,"2021-07-20 20:17:39.748043"
Lecture,001,5196,62,200,No,69,"2021-07-20 20:17:39.748052"
Discussion,01D,5197,1,30,No,96.6666666666667,"2021-07-20 20:17:39.748060"
Discussion,02D,5198,1,32,No,96.875,"2021-07-20 20:17:39.748070"
Discussion,03D,5199,0,30,No,100,"2021-07-20 20:17:39.748079"
Discussion,04D,10617,0,30,No,100,"2021-07-20 20:17:39.748088"
Discussion,05D,10633,21,30,No,30,"2021-07-20 20:17:39.748097"
Discussion,06D,10650,27,30,No,10,"2021-07-20 20:17:39.748107"
Lecture,01,5276,0,50,No,100,"2021-07-20 20:17:39.748117"
Lecture,001,7043,9,60,No,85,"2021-07-20 20:17:39.748127"
Laboratory,01L,7044,2,10,No,80,"2021-07-20 20:17:39.748136"
Laboratory,02L,7045,2,10,No,80,"2021-07-20 20:17:39.748146"
Laboratory,03L,7046,0,10,No,100,"2021-07-20 20:17:39.748155"
Laboratory,04L,7047,0,10,No,100,"2021-07-20 20:17:39.748165"
Laboratory,05L,7048,3,10,No,70,"2021-07-20 20:17:39.748175"
Laboratory,06L,9721,5,10,No,50,"2021-07-20 20:17:39.748185"
Lecture,01,5273,0,50,No,100,"2021-07-20 20:17:39.748194"
Lecture,01,5221,0,40,No,100,"2021-07-20 20:17:39.748203"
Lecture,001,5245,48,150,No,68,"2021-07-20 20:17:39.748213"
Discussion,01D,5246,27,50,No,46,"2021-07-20 20:17:39.748223"
Discussion,02D,5247,7,50,No,86,"2021-07-20 20:17:39.748233"
Discussion,03D,5248,14,50,No,72,"2021-07-20 20:17:39.748243"
Lecture,01,5233,13,50,No,74,"2021-07-20 20:17:39.748251"
IND,01,1307,4,4,No,0,"2021-07-20 20:17:39.748261"
IND,02,1308,2,2,No,0,"2021-07-20 20:17:39.748271"
IND,03,1309,4,4,No,0,"2021-07-20 20:17:39.748281"
IND,04,1310,4,4,No,0,"2021-07-20 20:17:39.748291"
IND,05,1311,3,3,No,0,"2021-07-20 20:17:39.748301"
IND,06,1312,2,2,No,0,"2021-07-20 20:17:39.748310"
IND,07,1313,2,2,No,0,"2021-07-20 20:17:39.748320"
IND,08,1314,2,2,No,0,"2021-07-20 20:17:39.748328"
IND,09,1315,2,2,No,0,"2021-07-20 20:17:39.748337"
IND,10,1316,2,2,No,0,"2021-07-20 20:17:39.748347"
IND,11,1317,2,2,No,0,"2021-07-20 20:17:39.748358"
IND,12,1318,2,2,No,0,"2021-07-20 20:17:39.748367"
IND,13,1319,2,2,No,0,"2021-07-20 20:17:39.748376"
IND,14,1320,2,2,No,0,"2021-07-20 20:17:39.748385"
IND,15,1321,4,4,No,0,"2021-07-20 20:17:39.748395"
IND,16,1322,2,2,No,0,"2021-07-20 20:17:39.748406"
IND,17,1323,2,2,No,0,"2021-07-20 20:17:39.748414"
IND,18,1324,2,2,No,0,"2021-07-20 20:17:39.748424"
IND,19,1325,2,2,No,0,"2021-07-20 20:17:39.748431"
IND,20,1326,2,2,No,0,"2021-07-20 20:17:39.748438"
IND,21,1327,3,3,No,0,"2021-07-20 20:17:39.748447"
IND,22,1328,3,3,No,0,"2021-07-20 20:17:39.748456"
IND,23,1329,3,3,No,0,"2021-07-20 20:17:39.748463"
IND,24,1330,3,3,No,0,"2021-07-20 20:17:39.748470"
IND,25,1331,3,3,No,0,"2021-07-20 20:17:39.748478"
IND,26,1332,3,3,No,0,"2021-07-20 20:17:39.748487"
IND,27,1333,3,3,No,0,"2021-07-20 20:17:39.748497"
IND,28,1334,3,3,No,0,"2021-07-20 20:17:39.748505"
IND,29,1335,3,3,No,0,"2021-07-20 20:17:39.748513"
IND,30,1336,3,3,No,0,"2021-07-20 20:17:39.748523"
IND,01,1412,1,2,No,50,"2021-07-20 20:17:39.748533"
IND,02,1413,2,2,No,0,"2021-07-20 20:17:39.748541"
IND,03,1414,2,2,No,0,"2021-07-20 20:17:39.748551"
IND,04,1415,7,7,No,0,"2021-07-20 20:17:39.748559"
IND,05,1416,2,2,No,0,"2021-07-20 20:17:39.748566"
IND,06,1417,2,2,No,0,"2021-07-20 20:17:39.748574"
IND,07,1418,18,18,No,0,"2021-07-20 20:17:39.748583"
IND,08,1419,2,2,No,0,"2021-07-20 20:17:39.748591"
IND,09,1420,2,2,No,0,"2021-07-20 20:17:39.748600"
IND,10,1421,2,2,No,0,"2021-07-20 20:17:39.748608"
IND,11,1422,2,2,No,0,"2021-07-20 20:17:39.748618"
IND,12,1423,5,5,No,0,"2021-07-20 20:17:39.748627"
IND,13,1424,2,2,No,0,"2021-07-20 20:17:39.748636"
IND,14,1425,2,2,No,0,"2021-07-20 20:17:39.748645"
IND,15,1426,2,2,No,0,"2021-07-20 20:17:39.748654"
IND,16,1427,2,2,No,0,"2021-07-20 20:17:39.748663"
IND,17,1428,2,2,No,0,"2021-07-20 20:17:39.748673"
IND,18,1429,2,2,No,0,"2021-07-20 20:17:39.748682"
IND,19,1430,2,2,No,0,"2021-07-20 20:17:39.748691"
IND,20,1431,2,2,No,0,"2021-07-20 20:17:39.748699"
IND,21,1432,2,2,No,0,"2021-07-20 20:17:39.748709"
IND,22,1433,2,2,No,0,"2021-07-20 20:17:39.748719"
IND,23,1434,2,2,No,0,"2021-07-20 20:17:39.748729"
IND,24,1435,2,2,No,0,"2021-07-20 20:17:39.748737"
IND,25,1436,2,2,No,0,"2021-07-20 20:17:39.748746"
IND,26,1437,2,2,No,0,"2021-07-20 20:17:39.748754"
IND,27,1438,2,2,No,0,"2021-07-20 20:17:39.748764"
IND,28,1439,2,2,No,0,"2021-07-20 20:17:39.748773"
IND,29,1440,2,2,No,0,"2021-07-20 20:17:39.748782"
IND,30,1441,2,2,No,0,"2021-07-20 20:17:39.748791"
IND,31,1442,1,1,No,0,"2021-07-20 20:17:39.748801"
IND,32,1443,1,1,No,0,"2021-07-20 20:17:39.748809"
IND,33,1444,1,1,No,0,"2021-07-20 20:17:39.748818"
IND,34,1445,1,1,No,0,"2021-07-20 20:17:39.748828"
IND,35,1446,1,1,No,0,"2021-07-20 20:17:39.748837"
Lecture,01,4842,2,25,No,92,"2021-07-20 20:17:39.748848"
Lecture,01,4844,0,40,No,100,"2021-07-20 20:17:39.748861"
SEM,01,8703,0,15,No,100,"2021-07-20 20:03:59.238663"
SEM,01,9132,3,15,No,80,"2021-07-20 20:03:59.238689"
Lecture,01,9100,6,16,No,62.5,"2021-07-20 20:03:59.238697"
Lecture,01,8959,0,15,No,100,"2021-07-20 20:03:59.238706"
SEM,01,6655,0,12,No,100,"2021-07-20 20:03:59.238715"
Lecture,01,8960,1,9,No,88.8888888888889,"2021-07-20 20:03:59.238725"
Lecture,01,8992,0,10,No,100,"2021-07-20 20:03:59.238731"
Lecture,01,8961,2,10,No,80,"2021-07-20 20:03:59.238738"
SEM,01,6683,3,18,No,83.3333333333333,"2021-07-20 20:03:59.238743"
SEM,01,6662,3,15,No,80,"2021-07-20 20:03:59.238749"
Lecture,01,8962,0,6,No,100,"2021-07-20 20:03:59.238754"
Lecture,01,8963,0,8,No,100,"2021-07-20 20:03:59.238760"
SEM,01,8882,0,12,No,100,"2021-07-20 20:03:59.238765"
SEM,01,6659,3,13,No,76.9230769230769,"2021-07-20 20:03:59.238770"
SEM,01,9060,0,9,No,100,"2021-07-20 20:03:59.238775"
SEM,01,9029,5,10,No,50,"2021-07-20 20:03:59.238781"
IND,01,9089,3,3,No,0,"2021-07-20 20:03:59.238786"
IND,02,9090,3,3,No,0,"2021-07-20 20:03:59.238792"
IND,03,9091,3,3,No,0,"2021-07-20 20:03:59.238797"
IND,04,9092,3,3,No,0,"2021-07-20 20:03:59.238802"
SEM,01,9185,0,15,No,100,"2021-07-20 20:03:59.238807"
Lecture,01,9223,0,10,No,100,"2021-07-20 20:03:59.238813"
SEM,01,8978,0,15,No,100,"2021-07-20 20:03:59.238819"
SEM,01,8983,0,9,No,100,"2021-07-20 20:03:59.238825"
SEM,01,9065,0,10,No,100,"2021-07-20 20:03:59.238830"
SEM,01,6690,0,10,No,100,"2021-07-20 20:03:59.238836"
SEM,01,9172,0,12,No,100,"2021-07-20 20:03:59.238841"
IND,01,9084,3,3,No,0,"2021-07-20 20:03:59.238846"
IND,02,9085,3,3,No,0,"2021-07-20 20:03:59.238851"
IND,03,9086,3,3,No,0,"2021-07-20 20:03:59.238857"
IND,04,9087,3,3,No,0,"2021-07-20 20:03:59.238862"
IND,05,9088,3,3,No,0,"2021-07-20 20:03:59.238867"
IND,01,8965,3,3,No,0,"2021-07-20 20:03:59.238872"
IND,02,8966,3,3,No,0,"2021-07-20 20:03:59.238877"
IND,03,8967,3,3,No,0,"2021-07-20 20:03:59.238888"
IND,04,8968,3,3,No,0,"2021-07-20 20:03:59.238893"
IND,01,8969,3,3,No,0,"2021-07-20 20:03:59.238898"
IND,02,8970,3,3,No,0,"2021-07-20 20:03:59.238903"
IND,03,8971,3,3,No,0,"2021-07-20 20:03:59.238908"
IND,04,8972,3,3,No,0,"2021-07-20 20:03:59.238913"
SEM,01,9026,2,10,No,80,"2021-07-20 20:03:59.238919"
SEM,01,8703,0,15,No,100,"2021-07-20 20:17:41.090905"
SEM,01,9132,3,15,No,80,"2021-07-20 20:17:41.090955"
Lecture,01,9100,6,16,No,62.5,"2021-07-20 20:17:41.090966"
Lecture,01,8959,0,15,No,100,"2021-07-20 20:17:41.090977"
SEM,01,6655,0,12,No,100,"2021-07-20 20:17:41.090987"
Lecture,01,8960,1,9,No,88.8888888888889,"2021-07-20 20:17:41.090996"
Lecture,01,8992,0,10,No,100,"2021-07-20 20:17:41.091005"
Lecture,01,8961,2,10,No,80,"2021-07-20 20:17:41.091015"
SEM,01,6683,3,18,No,83.3333333333333,"2021-07-20 20:17:41.091023"
SEM,01,6662,3,15,No,80,"2021-07-20 20:17:41.091034"
Lecture,01,8962,0,6,No,100,"2021-07-20 20:17:41.091043"
Lecture,01,8963,0,8,No,100,"2021-07-20 20:17:41.091052"
SEM,01,8882,0,12,No,100,"2021-07-20 20:17:41.091061"
SEM,01,6659,3,13,No,76.9230769230769,"2021-07-20 20:17:41.091069"
SEM,01,9060,0,9,No,100,"2021-07-20 20:17:41.091078"
SEM,01,9029,5,10,No,50,"2021-07-20 20:17:41.091087"
IND,01,9089,3,3,No,0,"2021-07-20 20:17:41.091097"
IND,02,9090,3,3,No,0,"2021-07-20 20:17:41.091106"
IND,03,9091,3,3,No,0,"2021-07-20 20:17:41.091116"
IND,04,9092,3,3,No,0,"2021-07-20 20:17:41.091124"
SEM,01,9185,0,15,No,100,"2021-07-20 20:17:41.091135"
Lecture,01,9223,0,10,No,100,"2021-07-20 20:17:41.091145"
SEM,01,8978,0,15,No,100,"2021-07-20 20:17:41.091156"
SEM,01,8983,0,9,No,100,"2021-07-20 20:17:41.091166"
SEM,01,9065,0,10,No,100,"2021-07-20 20:17:41.091176"
SEM,01,6690,0,10,No,100,"2021-07-20 20:17:41.091186"
SEM,01,9172,0,12,No,100,"2021-07-20 20:17:41.091194"
IND,01,9084,3,3,No,0,"2021-07-20 20:17:41.091203"
IND,02,9085,3,3,No,0,"2021-07-20 20:17:41.091211"
IND,03,9086,3,3,No,0,"2021-07-20 20:17:41.091221"
IND,04,9087,3,3,No,0,"2021-07-20 20:17:41.091230"
IND,05,9088,3,3,No,0,"2021-07-20 20:17:41.091238"
IND,01,8965,3,3,No,0,"2021-07-20 20:17:41.091248"
IND,02,8966,3,3,No,0,"2021-07-20 20:17:41.091257"
IND,03,8967,3,3,No,0,"2021-07-20 20:17:41.091267"
IND,04,8968,3,3,No,0,"2021-07-20 20:17:41.091277"
IND,01,8969,3,3,No,0,"2021-07-20 20:17:41.091285"
IND,02,8970,3,3,No,0,"2021-07-20 20:17:41.091294"
IND,03,8971,3,3,No,0,"2021-07-20 20:17:41.091306"
IND,04,8972,3,3,No,0,"2021-07-20 20:17:41.091316"
SEM,01,9026,2,10,No,80,"2021-07-20 20:17:41.091327"
Lecture,001,7081,0,40,No,100,"2021-07-20 20:03:59.528118"
Lecture,002,7082,4,40,No,90,"2021-07-20 20:03:59.528146"
Laboratory,01L,7122,0,10,No,100,"2021-07-20 20:03:59.528157"
Laboratory,02L,7123,0,10,No,100,"2021-07-20 20:03:59.528166"
Laboratory,03L,7124,0,10,No,100,"2021-07-20 20:03:59.528175"
Laboratory,04L,7125,0,10,No,100,"2021-07-20 20:03:59.528184"
Laboratory,05L,7126,0,10,No,100,"2021-07-20 20:03:59.528192"
Laboratory,06L,7127,0,10,No,100,"2021-07-20 20:03:59.528202"
Laboratory,07L,7128,0,10,No,100,"2021-07-20 20:03:59.528211"
Lecture,001,7088,33,70,No,52.8571428571429,"2021-07-20 20:03:59.528222"
Laboratory,01L,7083,0,10,No,100,"2021-07-20 20:03:59.528231"
Laboratory,02L,7084,6,10,No,40,"2021-07-20 20:03:59.528240"
Laboratory,03L,7085,8,10,No,20,"2021-07-20 20:03:59.528249"
Laboratory,04L,7086,0,10,No,100,"2021-07-20 20:03:59.528258"
Laboratory,05L,7087,0,10,No,100,"2021-07-20 20:03:59.528267"
Lecture,001,7089,52,150,No,65.3333333333333,"2021-07-20 20:03:59.528278"
Discussion,01D,7090,0,25,No,100,"2021-07-20 20:03:59.528287"
Discussion,02D,7091,8,25,No,68,"2021-07-20 20:03:59.528296"
Discussion,03D,7092,11,25,No,56.0,"2021-07-20 20:03:59.528305"
Discussion,04D,7093,2,25,No,92,"2021-07-20 20:03:59.528315"
Discussion,05D,7094,13,25,No,48,"2021-07-20 20:03:59.528325"
Discussion,06D,7095,18,25,No,28.0,"2021-07-20 20:03:59.528335"
Lecture,001,7107,15,40,No,62.5,"2021-07-20 20:03:59.528344"
Lecture,002,7108,0,40,No,100,"2021-07-20 20:03:59.528354"
Discussion,01D,7109,15,40,No,62.5,"2021-07-20 20:03:59.528364"
Discussion,02D,7110,0,40,No,100,"2021-07-20 20:03:59.528373"
Laboratory,01L,7103,0,16,No,100,"2021-07-20 20:03:59.528380"
Laboratory,02L,7104,0,16,No,100,"2021-07-20 20:03:59.528388"
Laboratory,03L,7105,1,10,No,90,"2021-07-20 20:03:59.528397"
Laboratory,04L,7106,0,16,No,100,"2021-07-20 20:03:59.528405"
Lecture,001,7111,6,50,No,88,"2021-07-20 20:03:59.528414"
Lecture,002,7112,15,50,No,70,"2021-07-20 20:03:59.528422"
Laboratory,01L,7113,0,10,No,100,"2021-07-20 20:03:59.528429"
Laboratory,02L,7114,0,10,No,100,"2021-07-20 20:03:59.528438"
Laboratory,04L,7116,3,10,No,70,"2021-07-20 20:03:59.528446"
Laboratory,05L,7117,0,10,No,100,"2021-07-20 20:03:59.528455"
Laboratory,06L,7118,0,10,No,100,"2021-07-20 20:03:59.528465"
Laboratory,07L,7119,0,10,No,100,"2021-07-20 20:03:59.528472"
Laboratory,08L,7120,3,10,No,70,"2021-07-20 20:03:59.528481"
Laboratory,09L,7121,0,10,No,100,"2021-07-20 20:03:59.528489"
IND,01,10736,0,1,No,100,"2021-07-20 20:03:59.528499"
IND,02,10737,1,1,No,0,"2021-07-20 20:03:59.528507"
Lecture,001,7129,9,12,No,25,"2021-07-20 20:03:59.528516"
Laboratory,01L,7130,9,12,No,25,"2021-07-20 20:03:59.528525"
Lecture,001,7049,13,20,No,35,"2021-07-20 20:03:59.528535"
Laboratory,01L,7050,5,8,No,37.5,"2021-07-20 20:03:59.528544"
Laboratory,02L,7051,4,8,No,50,"2021-07-20 20:03:59.528553"
Lecture,001,7484,0,12,No,100,"2021-07-20 20:03:59.528563"
Laboratory,01L,7485,0,12,No,100,"2021-07-20 20:03:59.528572"
Lecture,001,7037,9,60,No,85,"2021-07-20 20:03:59.528582"
Laboratory,01L,7038,2,10,No,80,"2021-07-20 20:03:59.528591"
Laboratory,02L,7039,2,10,No,80,"2021-07-20 20:03:59.528600"
Laboratory,03L,7040,-2,10,No,120,"2021-07-20 20:03:59.528609"
Laboratory,04L,7041,0,10,No,100,"2021-07-20 20:03:59.528619"
Laboratory,05L,7042,3,10,No,70,"2021-07-20 20:03:59.528629"
Laboratory,06L,9720,5,10,No,50,"2021-07-20 20:03:59.528636"
Lecture,001,5194,60,150,No,60,"2021-07-20 20:03:59.528645"
Discussion,01D,5195,60,150,No,60,"2021-07-20 20:03:59.528669"
Lecture,01,5220,0,40,No,100,"2021-07-20 20:03:59.528679"
Lecture,001,7161,23,24,No,4.16666666666667,"2021-07-20 20:03:59.528687"
Discussion,01D,7162,23,24,No,4.16666666666667,"2021-07-20 20:03:59.528695"
Lecture,001,5490,6,60,No,90,"2021-07-20 20:03:59.528704"
Laboratory,01L,5491,0,15,No,100,"2021-07-20 20:03:59.528712"
Laboratory,02L,5492,6,15,No,60,"2021-07-20 20:03:59.528720"
Laboratory,03L,5493,0,15,No,100,"2021-07-20 20:03:59.528728"
Laboratory,04L,5494,2,15,No,86.6666666666667,"2021-07-20 20:03:59.528736"
IND,01,10626,1,1,No,0,"2021-07-20 20:03:59.528744"
IND,02,10738,0,1,No,100,"2021-07-20 20:03:59.528751"
Lecture,01,7160,9,24,No,62.5,"2021-07-20 20:03:59.528759"
Lecture,01,7080,0,16,No,100,"2021-07-20 20:03:59.528767"
Lecture,01,7142,9,45,No,80,"2021-07-20 20:03:59.528775"
Lecture,01,7150,7,60,No,88.3333333333333,"2021-07-20 20:03:59.528784"
IND,01,10610,0,1,No,100,"2021-07-20 20:03:59.528791"
Lecture,01,7052,18,20,No,10,"2021-07-20 20:03:59.528799"
Lecture,08,5482,0,20,No,100,"2021-07-20 20:03:59.528808"
Lecture,001,7081,0,40,No,100,"2021-07-20 20:17:42.373348"
Lecture,002,7082,4,40,No,90,"2021-07-20 20:17:42.373379"
Laboratory,01L,7122,0,10,No,100,"2021-07-20 20:17:42.373390"
Laboratory,02L,7123,0,10,No,100,"2021-07-20 20:17:42.373399"
Laboratory,03L,7124,0,10,No,100,"2021-07-20 20:17:42.373408"
Laboratory,04L,7125,0,10,No,100,"2021-07-20 20:17:42.373416"
Laboratory,05L,7126,0,10,No,100,"2021-07-20 20:17:42.373423"
Laboratory,06L,7127,0,10,No,100,"2021-07-20 20:17:42.373432"
Laboratory,07L,7128,0,10,No,100,"2021-07-20 20:17:42.373440"
Lecture,001,7088,33,70,No,52.8571428571429,"2021-07-20 20:17:42.373450"
Laboratory,01L,7083,0,10,No,100,"2021-07-20 20:17:42.373458"
Laboratory,02L,7084,6,10,No,40,"2021-07-20 20:17:42.373467"
Laboratory,03L,7085,8,10,No,20,"2021-07-20 20:17:42.373475"
Laboratory,04L,7086,0,10,No,100,"2021-07-20 20:17:42.373484"
Laboratory,05L,7087,0,10,No,100,"2021-07-20 20:17:42.373492"
Lecture,001,7089,52,150,No,65.3333333333333,"2021-07-20 20:17:42.373501"
Discussion,01D,7090,0,25,No,100,"2021-07-20 20:17:42.373510"
Discussion,02D,7091,8,25,No,68,"2021-07-20 20:17:42.373543"
Discussion,03D,7092,11,25,No,56.0,"2021-07-20 20:17:42.373553"
Discussion,04D,7093,2,25,No,92,"2021-07-20 20:17:42.373561"
Discussion,05D,7094,13,25,No,48,"2021-07-20 20:17:42.373580"
Discussion,06D,7095,18,25,No,28.0,"2021-07-20 20:17:42.373591"
Lecture,001,7107,15,40,No,62.5,"2021-07-20 20:17:42.373599"
Lecture,002,7108,0,40,No,100,"2021-07-20 20:17:42.373607"
Discussion,01D,7109,15,40,No,62.5,"2021-07-20 20:17:42.373616"
Discussion,02D,7110,0,40,No,100,"2021-07-20 20:17:42.373626"
Laboratory,01L,7103,0,16,No,100,"2021-07-20 20:17:42.373643"
