course_name,catalog_num,topic,course_number
Signals and Systems - Lab,ECE 280L9,-,7118
Signals and Systems - Lab,ECE 280L9,-,7119
Signals and Systems - Lab,ECE 280L9,-,7120
Signals and Systems - Lab,ECE 280L9,-,7121
Projects in Electrical and Computer Engineering,ECE 291,BOT ROSS: ART ROBOT,10736
Projects in Electrical and Computer Engineering,ECE 291,COMBAT ROBOTICS,10737
Fundamentals of Microelectronic Devices,ECE 330L,-,7129
Fundamentals of Microelectronic Devices,ECE 330L,-,7130
Fundamentals of Microelectronic Circuits,ECE 331L,-,7049
Fundamentals of Microelectronic Circuits,ECE 331L,-,7050
Fundamentals of Microelectronic Circuits,ECE 331L,-,7051
Optics and Photonics,ECE 340L,-,7484
Optics and Photonics,ECE 340L,-,7485
Digital Systems,ECE 350L,-,7037
Digital Systems,ECE 350L,-,7038
Digital Systems,ECE 350L,-,7039
Digital Systems,ECE 350L,-,7040
Digital Systems,ECE 350L,-,7041
Digital Systems,ECE 350L,-,7042
Digital Systems,ECE 350L,-,9720
Introduction to Operating Systems,ECE 353,-,5194
Introduction to Operating Systems,ECE 353,-,5195
Computer Network Architecture,ECE 356,-,5220
Intermediate Electromagnetic Theory,ECE 370D,-,7161
Intermediate Electromagnetic Theory,ECE 370D,-,7162
Control of Dynamic Systems,ECE 382L,-,5490
Control of Dynamic Systems,ECE 382L,-,5491
Control of Dynamic Systems,ECE 382L,-,5492
Control of Dynamic Systems,ECE 382L,-,5493
Control of Dynamic Systems,ECE 382L,-,5494
Projects in Electrical and Computer Engineering,ECE 391,INSOMNIA TREATMENT APP,10626
Projects in Electrical and Computer Engineering,ECE 391,BOT ROSS: ART ROBOT,10738
Introduction to Quantum Engineering,ECE 420,-,7160
Introduction to Embedded Systems,ECE 459,-,7080
Ocean Engineering,ECE 461,-,7142
Applied Probability for Statistical Learning,ECE 480,-,7150
Projects in Electrical and Computer Engineering,ECE 493,-,10610
Special Topics in Electrical and Computer Engineering,ECE 495,QUANTUM SYSTEM DEVICES,7052
Special Topics in Electrical and Computer Engineering,ECE 495,INTRODUCTION TO ROBOTICS,5482
First-Year Seminar,ARTSVIS 89S,DRAWING COMMUNITY,8703
Introduction to Digital Photography,ARTSVIS 119S,-,9132
Experimental Interface Design,ARTSVIS 198,-,9100
Drawing,ARTSVIS 199,-,8959
Medicine and the Vision of Documentary Photography,ARTSVIS 204S,-,6655
Intermediate Drawing,ARTSVIS 205,-,8960
Digital Imaging,ARTSVIS 206,-,8992
Sculpture,ARTSVIS 210,-,8961
"Digital Documentary Photography: Education, Childhood, and Growth",ARTSVIS 212FS,-,6683
"Digital Documentary Photography: Education, Childhood, and Growth",ARTSVIS 212S,-,6662
Intermediate Painting,ARTSVIS 220,-,8962
Printmaking: Silkscreen,ARTSVIS 224,-,8963
Costume Design,ARTSVIS 233S,-,8882
Color Photography: Fieldwork and Digital Color,ARTSVIS 240S,-,6659
Cinematography,ARTSVIS 248S,-,9060
The Photobook: History and Practice,ARTSVIS 249S,-,9029
Individual Project in the Visual Arts,ARTSVIS 291,-,9089
Individual Project in the Visual Arts,ARTSVIS 291,-,9090
Individual Project in the Visual Arts,ARTSVIS 291,-,9091
Individual Project in the Visual Arts,ARTSVIS 291,-,9092
Writing the Short Film,ARTSVIS 303S,-,9185
USER EXPERIENCE AND USER INTERFACE DESIGN AND DEVELOPMENT,ARTSVIS 307,-,9223
Film Animation Production,ARTSVIS 326S,-,8978
Sound for Film and Video,ARTSVIS 350S,-,8983
16mm Film Production,ARTSVIS 356S,-,9065
The View Camera: Black and White Large Format Photography,ARTSVIS 368S,-,6690
Graphic Design in Motion,ARTSVIS 381S,-,9172
Independent Project in the Visual Arts,ARTSVIS 391,-,9084
Independent Project in the Visual Arts,ARTSVIS 391,-,9085
Independent Project in the Visual Arts,ARTSVIS 391,-,9086
Independent Project in the Visual Arts,ARTSVIS 391,-,9087
Independent Project in the Visual Arts,ARTSVIS 391,-,9088
Independent Study,ARTSVIS 491,MECHANICAL ENGINEERING,8965
Independent Study,ARTSVIS 491,-,8966
Independent Study,ARTSVIS 491,-,8967
Independent Study,ARTSVIS 491,-,8968
Independent Study,ARTSVIS 492,-,8969
Independent Study,ARTSVIS 492,-,8970
Independent Study,ARTSVIS 492,-,8971
Independent Study,ARTSVIS 492,-,8972
Advanced Visual Practice,ARTSVIS 497S,-,9026
First-Year Seminar,ARTSVIS 89S,DRAWING COMMUNITY,8703
Introduction to Digital Photography,ARTSVIS 119S,-,9132
Experimental Interface Design,ARTSVIS 198,-,9100
Drawing,ARTSVIS 199,-,8959
Medicine and the Vision of Documentary Photography,ARTSVIS 204S,-,6655
Intermediate Drawing,ARTSVIS 205,-,8960
Digital Imaging,ARTSVIS 206,-,8992
Sculpture,ARTSVIS 210,-,8961
"Digital Documentary Photography: Education, Childhood, and Growth",ARTSVIS 212FS,-,6683
"Digital Documentary Photography: Education, Childhood, and Growth",ARTSVIS 212S,-,6662
Intermediate Painting,ARTSVIS 220,-,8962
Printmaking: Silkscreen,ARTSVIS 224,-,8963
Costume Design,ARTSVIS 233S,-,8882
Color Photography: Fieldwork and Digital Color,ARTSVIS 240S,-,6659
Cinematography,ARTSVIS 248S,-,9060
The Photobook: History and Practice,ARTSVIS 249S,-,9029
Individual Project in the Visual Arts,ARTSVIS 291,-,9089
Individual Project in the Visual Arts,ARTSVIS 291,-,9090
Individual Project in the Visual Arts,ARTSVIS 291,-,9091
Individual Project in the Visual Arts,ARTSVIS 291,-,9092
Writing the Short Film,ARTSVIS 303S,-,9185
USER EXPERIENCE AND USER INTERFACE DESIGN AND DEVELOPMENT,ARTSVIS 307,-,9223
Film Animation Production,ARTSVIS 326S,-,8978
Sound for Film and Video,ARTSVIS 350S,-,8983
16mm Film Production,ARTSVIS 356S,-,9065
The View Camera: Black and White Large Format Photography,ARTSVIS 368S,-,6690
Graphic Design in Motion,ARTSVIS 381S,-,9172
Independent Project in the Visual Arts,ARTSVIS 391,-,9084
Independent Project in the Visual Arts,ARTSVIS 391,-,9085
Independent Project in the Visual Arts,ARTSVIS 391,-,9086
Independent Project in the Visual Arts,ARTSVIS 391,-,9087
Independent Project in the Visual Arts,ARTSVIS 391,-,9088
Independent Study,ARTSVIS 491,MECHANICAL ENGINEERING,8965
Independent Study,ARTSVIS 491,-,8966
Independent Study,ARTSVIS 491,-,8967
Independent Study,ARTSVIS 491,-,8968
Independent Study,ARTSVIS 492,-,8969
Independent Study,ARTSVIS 492,-,8970
Independent Study,ARTSVIS 492,-,8971
Independent Study,ARTSVIS 492,-,8972
Advanced Visual Practice,ARTSVIS 497S,-,9026
The Dynamic Earth,ECS 101,-,10348
The Dynamic Oceans,ECS 102,-,9688
Climate Change for Future Leaders,ECS 103,-,9691
Water Sciences: Principles and Challenges,ECS 220,-,9693
Field Methods in Earth and Environmental Sciences,ECS 226S,-,9696
Energy and the Environment,ECS 231,-,9699
Marine Ecology,ECS 374LA,-,9517
Biodiversity of Marine Invertebrates,ECS 377LA,-,9522
Independent Study,ECS 391,-,10349
Independent Study,ECS 391,-,10350
Independent Study,ECS 391,-,10351
Independent Study,ECS 391,-,10352
Independent Study,ECS 391,-,10353
Research Independent Study,ECS 393,-,10354
Research Independent Study,ECS 393,-,10355
Research Independent Study,ECS 393,-,10356
Research Independent Study,ECS 393,-,10357
Research Independent Study,ECS 393,-,10358
Research Independent Study,ECS 394,-,10359
Research Independent Study,ECS 394,-,10360
Research Independent Study,ECS 394,-,10361
Research Independent Study,ECS 394,-,10362
The Dynamic Earth,ECS 101,-,10348
The Dynamic Oceans,ECS 102,-,9688
Climate Change for Future Leaders,ECS 103,-,9691
Water Sciences: Principles and Challenges,ECS 220,-,9693
Field Methods in Earth and Environmental Sciences,ECS 226S,-,9696
Energy and the Environment,ECS 231,-,9699
Marine Ecology,ECS 374LA,-,9517
Biodiversity of Marine Invertebrates,ECS 377LA,-,9522
Independent Study,ECS 391,-,10349
Independent Study,ECS 391,-,10350
Independent Study,ECS 391,-,10351
Independent Study,ECS 391,-,10352
Independent Study,ECS 391,-,10353
Research Independent Study,ECS 393,-,10354
Research Independent Study,ECS 393,-,10355
Research Independent Study,ECS 393,-,10356
Research Independent Study,ECS 393,-,10357
Research Independent Study,ECS 393,-,10358
Research Independent Study,ECS 394,-,10359
Research Independent Study,ECS 394,-,10360
Research Independent Study,ECS 394,-,10361
Research Independent Study,ECS 394,-,10362
Introductory Biochemistry I: Intermediary Metabolism,BIOCHEM 301,-,8239
Research Independent Study,BIOCHEM 393,-,2420
Research Independent Study,BIOCHEM 393,-,2421
Research Independent Study,BIOCHEM 393,-,2422
Research Independent Study,BIOCHEM 393,-,2423
Research Independent Study,BIOCHEM 393,-,2424
Research Independent Study,BIOCHEM 393,-,2425
Research Independent Study,BIOCHEM 393,-,2426
Research Independent Study,BIOCHEM 393,-,2427
Research Independent Study,BIOCHEM 393,-,2428
Research Independent Study,BIOCHEM 393,-,2429
Research Independent Study,BIOCHEM 393,-,2430
Research Independent Study,BIOCHEM 393,-,2431
Research Independent Study,BIOCHEM 393,-,2432
Research Independent Study,BIOCHEM 393,-,2433
Research Independent Study,BIOCHEM 393,-,2434
Research Independent Study,BIOCHEM 393,-,2435
Research Independent Study,BIOCHEM 393,-,2436
Research Independent Study,BIOCHEM 393,-,2437
Research Independent Study,BIOCHEM 393,-,2438
Research Independent Study,BIOCHEM 393,-,2439
Research Independent Study,BIOCHEM 393,-,2440
Research Independent Study,BIOCHEM 393,-,2441
Research Independent Study,BIOCHEM 393,-,2442
Introductory Biochemistry I: Intermediary Metabolism,BIOCHEM 301,-,8239
Research Independent Study,BIOCHEM 393,-,2420
Research Independent Study,BIOCHEM 393,-,2421
Research Independent Study,BIOCHEM 393,-,2422
Research Independent Study,BIOCHEM 393,-,2423
Research Independent Study,BIOCHEM 393,-,2424
Research Independent Study,BIOCHEM 393,-,2425
Research Independent Study,BIOCHEM 393,-,2426
Research Independent Study,BIOCHEM 393,-,2427
Research Independent Study,BIOCHEM 393,-,2428
Research Independent Study,BIOCHEM 393,-,2429
Research Independent Study,BIOCHEM 393,-,2430
Research Independent Study,BIOCHEM 393,-,2431
Research Independent Study,BIOCHEM 393,-,2432
Research Independent Study,BIOCHEM 393,-,2433
Research Independent Study,BIOCHEM 393,-,2434
Research Independent Study,BIOCHEM 393,-,2435
Research Independent Study,BIOCHEM 393,-,2436
Research Independent Study,BIOCHEM 393,-,2437
Research Independent Study,BIOCHEM 393,-,2438
Research Independent Study,BIOCHEM 393,-,2439
Research Independent Study,BIOCHEM 393,-,2440
Research Independent Study,BIOCHEM 393,-,2441
Research Independent Study,BIOCHEM 393,-,2442
Elementary Greek,GREEK 101,-,5135
Intermediate Greek,GREEK 203,-,5136
Greek Epic,GREEK 324S,-,5144
Elementary Greek,GREEK 101,-,5135
Intermediate Greek,GREEK 203,-,5136
Greek Epic,GREEK 324S,-,5144
First-Year Seminar,EDUC 89S,EDUCATION AS LIBERATION,6916
First-Year Seminar,EDUC 89S,DRAWING COMMUNITY,8704
Social and Philosophical Foundations of Education,EDUC 101,-,6917
Social and Philosophical Foundations of Education,EDUC 101,-,6918
Pursuit of Equality: Rethinking Schools - Lens of Social Justice,EDUC 111FS,-,6942
Critical Race Theory in Education,EDUC 118FS,-,6952
Focus Special Topics,EDUC 190FS,CLASSROOM CULTURE,10528
Introduction to Engaged Citizenship and Social Change (Gateway Course),EDUC 201,-,7313
"Digital Documentary Photography: Education, Childhood, and Growth",EDUC 209FS,-,6685
"Digital Documentary Photography: Education, Childhood, and Growth",EDUC 209S,-,6664
Educational Psychology,EDUC 240,-,6920
Educational Psychology,EDUC 240,-,6921
"Children, Schools, and Society",EDUC 243S,-,6928
Children's Self Expression: Literacy Through Photography,EDUC 244S,-,6640
"Literacy, Writing, Tutoring",EDUC 255S,-,4672
Overlooked Children: Topics of Equity and Access in Gifted Education,EDUC 272S,-,6950
Leadership and the Changing Landscape of Health Care,EDUC 275S,-,6946
"Learning Outcomes Assessment: Understanding and Using Evidence to Guide Teaching, Learning, & Policy",EDUC 289S,-,6948
Freshman-Sophomore Tutorials (TOP),EDUC 290T,-,6930
Freshman-Sophomore Tutorials (TOP),EDUC 290T,-,6931
Freshman-Sophomore Tutorials (TOP),EDUC 290T,-,6932
Freshman-Sophomore Tutorials (TOP),EDUC 290T,-,6933
Freshman-Sophomore Tutorials (TOP),EDUC 290T,-,6934
Asians in American Higher Education: Trends and Issues,EDUC 345S,-,6944
Junior-Senior Tutorials (Topics),EDUC 390T-1,-,1976
Junior-Senior Tutorials (Topics),EDUC 390T-1,-,1977
Junior-Senior Tutorials (Topics),EDUC 390T-1,-,1978
Junior-Senior Tutorials (Topics),EDUC 390T-1,-,1979
Junior-Senior Tutorials (Topics),EDUC 390T-1,-,1980
Independent Study,EDUC 391,-,1968
Independent Study,EDUC 391,-,1969
Independent Study,EDUC 391,-,1970
Independent Study,EDUC 391,-,1971
Independent Study,EDUC 391,-,1972
Independent Study,EDUC 391,-,1973
Independent Study,EDUC 391,-,1974
Independent Study,EDUC 391,-,1975
Research Independent Study,EDUC 393,-,1759
Research Independent Study,EDUC 393,-,1760
Research Independent Study,EDUC 393,-,1761
Research Independent Study,EDUC 393,-,1762
Research Independent Study,EDUC 393,-,1763
Research Independent Study,EDUC 393,-,1764
Research Independent Study,EDUC 393,-,1765
Research Independent Study,EDUC 393,-,1766
Teaching Practices in Elementary Mathematics and Science,EDUC 407S,-,6935
Teaching Practices in Elementary Language Arts and Social Studies,EDUC 408S,-,6919
Elementary Education: Practicum,EDUC 420,-,9644
"What's Next: Women, Leadership, Purpose",EDUC 430S,-,6924
Teaching Practices in Secondary Education,EDUC 495,-,6939
Secondary Education: Practicum,EDUC 498,-,9645
First-Year Seminar,EDUC 89S,EDUCATION AS LIBERATION,6916
First-Year Seminar,EDUC 89S,DRAWING COMMUNITY,8704
Social and Philosophical Foundations of Education,EDUC 101,-,6917
Social and Philosophical Foundations of Education,EDUC 101,-,6918
Pursuit of Equality: Rethinking Schools - Lens of Social Justice,EDUC 111FS,-,6942
Critical Race Theory in Education,EDUC 118FS,-,6952
Focus Special Topics,EDUC 190FS,CLASSROOM CULTURE,10528
Introduction to Engaged Citizenship and Social Change (Gateway Course),EDUC 201,-,7313
"Digital Documentary Photography: Education, Childhood, and Growth",EDUC 209FS,-,6685
"Digital Documentary Photography: Education, Childhood, and Growth",EDUC 209S,-,6664
Educational Psychology,EDUC 240,-,6920
Educational Psychology,EDUC 240,-,6921
"Children, Schools, and Society",EDUC 243S,-,6928
Children's Self Expression: Literacy Through Photography,EDUC 244S,-,6640
"Literacy, Writing, Tutoring",EDUC 255S,-,4672
Overlooked Children: Topics of Equity and Access in Gifted Education,EDUC 272S,-,6950
Leadership and the Changing Landscape of Health Care,EDUC 275S,-,6946
"Learning Outcomes Assessment: Understanding and Using Evidence to Guide Teaching, Learning, & Policy",EDUC 289S,-,6948
Freshman-Sophomore Tutorials (TOP),EDUC 290T,-,6930
Freshman-Sophomore Tutorials (TOP),EDUC 290T,-,6931
Freshman-Sophomore Tutorials (TOP),EDUC 290T,-,6932
Freshman-Sophomore Tutorials (TOP),EDUC 290T,-,6933
Freshman-Sophomore Tutorials (TOP),EDUC 290T,-,6934
Asians in American Higher Education: Trends and Issues,EDUC 345S,-,6944
Junior-Senior Tutorials (Topics),EDUC 390T-1,-,1976
Junior-Senior Tutorials (Topics),EDUC 390T-1,-,1977
Junior-Senior Tutorials (Topics),EDUC 390T-1,-,1978
Junior-Senior Tutorials (Topics),EDUC 390T-1,-,1979
Junior-Senior Tutorials (Topics),EDUC 390T-1,-,1980
Independent Study,EDUC 391,-,1968
Independent Study,EDUC 391,-,1969
Independent Study,EDUC 391,-,1970
Independent Study,EDUC 391,-,1971
Independent Study,EDUC 391,-,1972
Independent Study,EDUC 391,-,1973
Independent Study,EDUC 391,-,1974
Independent Study,EDUC 391,-,1975
Research Independent Study,EDUC 393,-,1759
Research Independent Study,EDUC 393,-,1760
Research Independent Study,EDUC 393,-,1761
Research Independent Study,EDUC 393,-,1762
Research Independent Study,EDUC 393,-,1763
Research Independent Study,EDUC 393,-,1764
Research Independent Study,EDUC 393,-,1765
Research Independent Study,EDUC 393,-,1766
Teaching Practices in Elementary Mathematics and Science,EDUC 407S,-,6935
Teaching Practices in Elementary Language Arts and Social Studies,EDUC 408S,-,6919
Elementary Education: Practicum,EDUC 420,-,9644
"What's Next: Women, Leadership, Purpose",EDUC 430S,-,6924
Teaching Practices in Secondary Education,EDUC 495,-,6939
Secondary Education: Practicum,EDUC 498,-,9645
The Dynamic Earth,EOS 101,-,10347
The Dynamic Oceans,EOS 102,-,9690
Climate Change for Future Leaders,EOS 103,-,9692
Water Sciences: Principles and Challenges,EOS 220,-,9695
Field Methods in Earth and Environmental Sciences,EOS 226S,-,9698
Energy and the Environment,EOS 231,-,7739
Marine Ecology,EOS 374LA,-,9516
Biodiversity of Marine Invertebrates,EOS 377LA,-,9521
Independent Study,EOS 391,-,2886
Independent Study,EOS 391,-,2887
Independent Study,EOS 391,-,2888
Independent Study,EOS 391,-,2889
Independent Study,EOS 391,-,2890
Independent Study,EOS 391,-,2891
Independent Study,EOS 391,-,2892
Independent Study,EOS 391,-,2893
Research Independent Study,EOS 393,-,2869
Research Independent Study,EOS 393,-,2870
Research Independent Study,EOS 393,-,2871
Research Independent Study,EOS 393,-,2872
Research Independent Study,EOS 393,-,2873
Research Independent Study,EOS 393,-,2874
Research Independent Study,EOS 393,-,2875
Research Independent Study,EOS 393,-,2876
Research Independent Study,EOS 393,-,2877
Research Independent Study,EOS 393,-,2878
Research Independent Study,EOS 393,-,2879
Research Independent Study,EOS 393,-,2880
Research Independent Study,EOS 393,-,2881
Research Independent Study,EOS 393,-,2882
Research Independent Study,EOS 393,-,2883
Research Independent Study,EOS 393,-,2884
Research Independent Study,EOS 393,-,2885
Research Independent Study,EOS 394,-,2894
Research Independent Study,EOS 394,-,2895
Research Independent Study,EOS 394,-,2896
Research Independent Study,EOS 394,-,2897
Research Independent Study,EOS 394,-,2898
The Dynamic Earth,EOS 101,-,10347
The Dynamic Oceans,EOS 102,-,9690
Climate Change for Future Leaders,EOS 103,-,9692
Water Sciences: Principles and Challenges,EOS 220,-,9695
Field Methods in Earth and Environmental Sciences,EOS 226S,-,9698
Energy and the Environment,EOS 231,-,7739
Marine Ecology,EOS 374LA,-,9516
Biodiversity of Marine Invertebrates,EOS 377LA,-,9521
Independent Study,EOS 391,-,2886
Independent Study,EOS 391,-,2887
Independent Study,EOS 391,-,2888
Independent Study,EOS 391,-,2889
Independent Study,EOS 391,-,2890
Independent Study,EOS 391,-,2891
Independent Study,EOS 391,-,2892
Independent Study,EOS 391,-,2893
Research Independent Study,EOS 393,-,2869
Research Independent Study,EOS 393,-,2870
Research Independent Study,EOS 393,-,2871
Research Independent Study,EOS 393,-,2872
Research Independent Study,EOS 393,-,2873
Research Independent Study,EOS 393,-,2874
Research Independent Study,EOS 393,-,2875
Research Independent Study,EOS 393,-,2876
Research Independent Study,EOS 393,-,2877
Research Independent Study,EOS 393,-,2878
Research Independent Study,EOS 393,-,2879
Research Independent Study,EOS 393,-,2880
Research Independent Study,EOS 393,-,2881
Research Independent Study,EOS 393,-,2882
Research Independent Study,EOS 393,-,2883
Research Independent Study,EOS 393,-,2884
Research Independent Study,EOS 393,-,2885
Research Independent Study,EOS 394,-,2894
Research Independent Study,EOS 394,-,2895
Research Independent Study,EOS 394,-,2896
Research Independent Study,EOS 394,-,2897
Research Independent Study,EOS 394,-,2898
Bass Connections: Interdisciplinary Team Projects,EHD 395,PEER MENTAL HEALTH SUPPORT,5981
Bass Connections Education & Human Development Research Team,EHD 395T,GIRLS' & WOMEN'S MATH IDENTITY,2367
Bass Connections Education & Human Development Research Team,EHD 395T,LATINX CULTURE & SPANISH READ,2368
Bass Connections Education & Human Development Research Team,EHD 395T,JUSTICE REFORM EFFORTS,5991
Bass Connections Education & Human Development Research Team,EHD 395T,COVID19 & HOUSEHOLD WELLBEING,5992
Bass Connections Education & Human Development Research Team,EHD 395T,SOCIAL NETWORK DYNAMICS,5993
Bass Connections Education & Human Development Research Team,EHD 395T,DPS & UNIVERSITIES PARTNERSHIP,5994
Bass Connections Education & Human Development Research Team,EHD 395T,WIRED FOR LEARNING,5995
Bass Connections Education & Human Development Research Team,EHD 395T,RACIAL HEALING & JUSTICE,5996
Bass Connections Education & Human Development Research Team,EHD 395T,TRAUMA-INFORMED TEACH & LEARN,5997
Bass Connections Education & Human Development Research Team,EHD 395T,COMMUNITY RESEARCH PARTNERSHIP,5998
Bass Connections: Interdisciplinary Team Projects,EHD 395,PEER MENTAL HEALTH SUPPORT,5981
Bass Connections Education & Human Development Research Team,EHD 395T,GIRLS' & WOMEN'S MATH IDENTITY,2367
Bass Connections Education & Human Development Research Team,EHD 395T,LATINX CULTURE & SPANISH READ,2368
Bass Connections Education & Human Development Research Team,EHD 395T,JUSTICE REFORM EFFORTS,5991
Bass Connections Education & Human Development Research Team,EHD 395T,COVID19 & HOUSEHOLD WELLBEING,5992
Bass Connections Education & Human Development Research Team,EHD 395T,SOCIAL NETWORK DYNAMICS,5993
Bass Connections Education & Human Development Research Team,EHD 395T,DPS & UNIVERSITIES PARTNERSHIP,5994
Bass Connections Education & Human Development Research Team,EHD 395T,WIRED FOR LEARNING,5995
Bass Connections Education & Human Development Research Team,EHD 395T,RACIAL HEALING & JUSTICE,5996
Bass Connections Education & Human Development Research Team,EHD 395T,TRAUMA-INFORMED TEACH & LEARN,5997
Bass Connections Education & Human Development Research Team,EHD 395T,COMMUNITY RESEARCH PARTNERSHIP,5998
"History of Computing, Cryptography, and Robotic Devices",COMPSCI 93,-,5278
"History of Computing, Cryptography, and Robotic Devices",COMPSCI 93,-,9714
Programming and Problem Solving,COMPSCI 94,-,5169
Programming and Problem Solving,COMPSCI 94FS,-,5275
Introduction to Computer Science,COMPSCI 101L,-,5223
Introduction to Computer Science,COMPSCI 101L,-,5224
Introduction to Computer Science,COMPSCI 101L,-,5225
Introduction to Computer Science,COMPSCI 101L,-,5226
Introduction to Computer Science,COMPSCI 101L,-,5227
Introduction to Computer Science,COMPSCI 101L,-,5228
Introduction to Computer Science,COMPSCI 101L,-,5229
Introduction to Computer Science,COMPSCI 101L,-,5230
Introduction to Computer Science,COMPSCI 101L,-,5231
Introduction to Computer Science,COMPSCI 101L,-,5232
"Information, Society & Culture: Bass Connections Gateway",COMPSCI 110,-,7420
Introduction to Digital Feminism,COMPSCI 112S,-,4966
Foundations of Data Science,COMPSCI 116,-,5272
Data Structures and Algorithms,COMPSCI 201,-,5170
Data Structures and Algorithms,COMPSCI 201,-,5171
Data Structures and Algorithms,COMPSCI 201,-,5172
Data Structures and Algorithms,COMPSCI 201,-,5173
Data Structures and Algorithms,COMPSCI 201,-,5174
Data Structures and Algorithms,COMPSCI 201,-,5175
Data Structures and Algorithms,COMPSCI 201,-,5176
Data Structures and Algorithms,COMPSCI 201,-,5177
Data Structures and Algorithms,COMPSCI 201,-,5178
Data Structures and Algorithms,COMPSCI 201,-,5179
Data Structures and Algorithms,COMPSCI 201,-,5180
Data Structures and Algorithms,COMPSCI 201,-,5181
Data Structures and Algorithms,COMPSCI 201,-,5182
Data Structures and Algorithms,COMPSCI 201,-,5183
Data Structures and Algorithms,COMPSCI 201,-,5184
Data Structures and Algorithms,COMPSCI 201,-,5185
Data Structures and Algorithms,COMPSCI 201,-,5186
Data Structures and Algorithms,COMPSCI 201,-,5187
Data Structures and Algorithms,COMPSCI 201,-,5188
Data Structures and Algorithms,COMPSCI 201,-,5189
Data Structures and Algorithms,COMPSCI 201,-,5190
Data Structures and Algorithms,COMPSCI 201,-,5191
Introduction to Computer Systems,COMPSCI 210D,-,5279
Introduction to Computer Systems,COMPSCI 210D,-,5280
Introduction to Computer Systems,COMPSCI 210D,-,5281
not found,NA,NA,5282
Introduction to Computer Systems,COMPSCI 210D,-,5283
Introduction to Computer Systems,COMPSCI 210D,-,5284
Introduction to Computer Systems,COMPSCI 210D,-,5285
not found,NA,NA,5286
Introduction to Computer Systems,COMPSCI 210D,-,5287
not found,NA,NA,5288
Everything Data,COMPSCI 216,-,5243
Discrete Math for Computer Science,COMPSCI 230,-,5235
Discrete Math for Computer Science,COMPSCI 230,-,5236
Discrete Math for Computer Science,COMPSCI 230,-,5237
Discrete Math for Computer Science,COMPSCI 230,-,5238
Discrete Math for Computer Science,COMPSCI 230,-,5239
Discrete Math for Computer Science,COMPSCI 230,-,5240
Discrete Math for Computer Science,COMPSCI 230,-,10678
"Race, Gender, Class, & Computing",COMPSCI 240,-,5277
Computer Architecture,COMPSCI 250D,-,7096
Computer Architecture,COMPSCI 250D,-,7097
Computer Architecture,COMPSCI 250D,-,7098
Computer Architecture,COMPSCI 250D,-,7099
Computer Architecture,COMPSCI 250D,-,7100
Computer Architecture,COMPSCI 250D,-,7101
not found,NA,NA,7102
Topics in Computer Science,COMPSCI 290,GREAT IDEAS IN CS,5200
Topics in Computer Science,COMPSCI 290,INTRO TO COMPUTATIONAL IMAGING,5201
Software Design and Implementation,COMPSCI 307D,-,5249
Software Design and Implementation,COMPSCI 307D,-,5250
Introduction to Operating Systems,COMPSCI 310,-,5192
Introduction to Operating Systems,COMPSCI 310,-,5193
Introduction to Database Systems,COMPSCI 316,-,5234
Introduction to the Design and Analysis of Algorithms,COMPSCI 330,-,5196
Introduction to the Design and Analysis of Algorithms,COMPSCI 330,-,5197
Introduction to the Design and Analysis of Algorithms,COMPSCI 330,-,5198
Introduction to the Design and Analysis of Algorithms,COMPSCI 330,-,5199
Introduction to the Design and Analysis of Algorithms,COMPSCI 330,-,10617
Introduction to the Design and Analysis of Algorithms,COMPSCI 330,-,10633
not found,NA,NA,10650
Algorithms in the Real World,COMPSCI 333,-,5276
Digital Systems,COMPSCI 350L,-,7043
Digital Systems,COMPSCI 350L,-,7044
Digital Systems,COMPSCI 350L,-,7045
Digital Systems,COMPSCI 350L,-,7046
Digital Systems,COMPSCI 350L,-,7047
Digital Systems,COMPSCI 350L,-,7048
Digital Systems,COMPSCI 350L,-,9721
Computer Security,COMPSCI 351,-,5273
Computer Network Architecture,COMPSCI 356,-,5221
Elements of Machine Learning,COMPSCI 371D,-,5245
Elements of Machine Learning,COMPSCI 371D,-,5246
Elements of Machine Learning,COMPSCI 371D,-,5247
Elements of Machine Learning,COMPSCI 371D,-,5248
Topics in Computer Science,COMPSCI 390,COLLABORATIVE PROJECTS,5233
Independent Study,COMPSCI 391,-,1307
Independent Study,COMPSCI 391,-,1308
Independent Study,COMPSCI 391,-,1309
Independent Study,COMPSCI 391,-,1310
Independent Study,COMPSCI 391,-,1311
Independent Study,COMPSCI 391,-,1312
Independent Study,COMPSCI 391,-,1313
Independent Study,COMPSCI 391,-,1314
Independent Study,COMPSCI 391,-,1315
Independent Study,COMPSCI 391,-,1316
Independent Study,COMPSCI 391,-,1317
Independent Study,COMPSCI 391,-,1318
Independent Study,COMPSCI 391,-,1319
Independent Study,COMPSCI 391,-,1320
Independent Study,COMPSCI 391,-,1321
Independent Study,COMPSCI 391,-,1322
Independent Study,COMPSCI 391,-,1323
Independent Study,COMPSCI 391,-,1324
Independent Study,COMPSCI 391,-,1325
Independent Study,COMPSCI 391,-,1326
Independent Study,COMPSCI 391,-,1327
Independent Study,COMPSCI 391,-,1328
Independent Study,COMPSCI 391,-,1329
Independent Study,COMPSCI 391,-,1330
Independent Study,COMPSCI 391,-,1331
Independent Study,COMPSCI 391,-,1332
Independent Study,COMPSCI 391,-,1333
Independent Study,COMPSCI 391,-,1334
Independent Study,COMPSCI 391,-,1335
Independent Study,COMPSCI 391,-,1336
Research Independent Study,COMPSCI 393,-,1412
