Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
Introduction to Research in Chemistry | CHEM 81S,SEM Section 01,9824,9,18,50.0,2021-06-27 18:14:04.969928
Research Independent Study | CHEM 494,IND Section 09,4849,10,10,0.0,2021-06-27 18:23:47.140261
Research Independent Study | CHEM 494,IND Section 10,4850,10,10,0.0,2021-06-27 18:23:49.440631
Research Independent Study | CHEM 494,IND Section 11,4851,6,10,40.0,2021-06-27 18:23:51.744183
Research Independent Study | CHEM 494,IND Section 12,4852,10,10,0.0,2021-06-27 18:23:54.090078
Research Independent Study | CHEM 494,IND Section 13,4853,10,10,0.0,2021-06-27 18:23:56.438408
Research Independent Study | CHEM 494,IND Section 14,4854,10,10,0.0,2021-06-27 18:23:58.763446
Research Independent Study | CHEM 494,IND Section 15,4855,9,10,10.0,2021-06-27 18:24:01.107473
Research Independent Study | CHEM 494,IND Section 16,4856,9,10,10.0,2021-06-27 18:24:03.461297
Research Independent Study | CHEM 494,IND Section 17,4857,10,10,0.0,2021-06-27 18:24:05.797049
Research Independent Study | CHEM 494,IND Section 18,4858,10,10,0.0,2021-06-27 18:24:08.154868
Research Independent Study | CHEM 494,IND Section 19,4859,10,10,0.0,2021-06-27 18:24:10.522079
Research Independent Study | CHEM 494,IND Section 20,4860,10,10,0.0,2021-06-27 18:24:12.925960
Research Independent Study | CHEM 494,IND Section 21,4861,10,10,0.0,2021-06-27 18:24:15.256844
Research Independent Study | CHEM 494,IND Section 22,4862,10,10,0.0,2021-06-27 18:24:17.597162
Research Independent Study | CHEM 494,IND Section 23,4863,10,10,0.0,2021-06-27 18:24:19.953509
Research Independent Study | CHEM 494,IND Section 24,4864,10,10,0.0,2021-06-27 18:24:22.333033
Research Independent Study | CHEM 494,IND Section 25,4865,7,10,30.0,2021-06-27 18:24:24.699964
Research Independent Study | CHEM 494,IND Section 26,4866,10,10,0.0,2021-06-27 18:24:27.060156
Research Independent Study | CHEM 494,IND Section 27,4867,10,10,0.0,2021-06-27 18:24:29.418118
Research Independent Study | CHEM 494,IND Section 28,4868,10,10,0.0,2021-06-27 18:24:31.736750
Graduation with Distinction in Chemistry | CHEM 496,Lecture Section 01,4869,0,25,100.0,2021-06-27 18:24:34.080586
