Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
First-Year Seminar | PUBPOL 89S,SEM Section 01,9825,0,8,100.0,2021-06-27 17:32:46.630721
United States Environmental Policy | PUBPOL 275D,Discussion Section 01D,9964,5,30,83.33333333333334,2021-06-27 18:31:46.146269
Masculinities & Global Politics | PUBPOL 276S,SEM Section 01,10046,6,15,60.0,2021-06-27 18:31:48.731634
Sexuality and the Law | PUBPOL 277S,SEM Section 01,7764,3,15,80.0,2021-06-27 18:31:51.187929
North American Environmental History | PUBPOL 278,Lecture Section 01,7131,20,35,42.857142857142854,2021-06-27 18:31:53.573216
North American Environmental History | PUBPOL 278,Lecture Section 02,11395,0,1,100.0,2021-06-27 18:31:56.000376
Marine Science and Conservation Leadership | PUBPOL 280S,SEM Section 01,9970,1,5,80.0,2021-06-27 18:31:58.417098
Ethics in an Unjust World | PUBPOL 283,Lecture Section 01,9132,0,50,100.0,2021-06-27 18:32:00.820814
Selected Public Policy Topics | PUBPOL 290,Lecture Section 01,9029,2,20,90.0,2021-06-27 18:32:03.248572
Selected Topics Public Policy | PUBPOL 290D,Lecture Section 001,10045,12,18,33.33333333333333,2021-06-27 18:32:05.668500
Selected Topics Public Policy | PUBPOL 290D,Discussion Section 01D,10043,12,18,33.33333333333333,2021-06-27 18:32:08.197069
Selected Public Policy Topics | PUBPOL 290S,SEM Section 01,10490,0,15,100.0,2021-06-27 18:32:10.586922
Selected Public Policy Topics | PUBPOL 290S,SEM Section 02,10423,0,14,100.0,2021-06-27 18:32:13.006612
Selected Public Policy Topics | PUBPOL 290S,SEM Section 10,9829,0,8,100.0,2021-06-27 18:32:15.467332
Selected Public Policy Topics | PUBPOL 290S,SEM Section 20,9831,2,15,86.66666666666667,2021-06-27 18:32:17.816567
Selected Public Policy Topics | PUBPOL 290S,SEM Section 30,9832,1,6,83.33333333333334,2021-06-27 18:32:20.168077
Selected Public Policy Topics | PUBPOL 290S,SEM Section 31,9833,1,6,83.33333333333334,2021-06-27 18:32:22.513712
Selected Public Policy Topics | PUBPOL 290S,SEM Section 40,9834,0,6,100.0,2021-06-27 18:32:24.855424
Selected Public Policy Topics | PUBPOL 290S,SEM Section 41,9835,2,6,66.66666666666666,2021-06-27 18:32:27.222177
Selected Public Policy Topics | PUBPOL 290S,SEM Section 50,9836,0,8,100.0,2021-06-27 18:32:29.605186
Selected Public Policy Topics | PUBPOL 290S,SEM Section 51,9837,2,7,71.42857142857143,2021-06-27 18:32:31.993677
Political Analysis for Public Policy-Making | PUBPOL 301,Lecture Section 001,9003,9,90,90.0,2021-06-27 18:32:34.434840
Political Analysis for Public Policy-Making | PUBPOL 301,Lecture Section 003,9005,8,45,82.22222222222221,2021-06-27 18:32:36.784977
Political Analysis for Public Policy-Making | PUBPOL 301,Discussion Section 01D,9006,1,15,93.33333333333333,2021-06-27 18:32:39.165371
Political Analysis for Public Policy-Making | PUBPOL 301,Discussion Section 02D,9007,0,15,100.0,2021-06-27 18:32:41.547840
Political Analysis for Public Policy-Making | PUBPOL 301,Discussion Section 03D,9008,2,15,86.66666666666667,2021-06-27 18:32:43.947847
Political Analysis for Public Policy-Making | PUBPOL 301,Discussion Section 04D,9009,0,15,100.0,2021-06-27 18:32:46.298129
Political Analysis for Public Policy-Making | PUBPOL 301,Discussion Section 05D,9010,5,15,66.66666666666666,2021-06-27 18:32:48.669390
Political Analysis for Public Policy-Making | PUBPOL 301,Discussion Section 06D,9011,1,15,93.33333333333333,2021-06-27 18:32:51.071991
Political Analysis for Public Policy-Making | PUBPOL 301,Discussion Section 07D,9012,1,15,93.33333333333333,2021-06-27 18:32:53.454138
Political Analysis for Public Policy-Making | PUBPOL 301,Discussion Section 08D,9013,7,15,53.333333333333336,2021-06-27 18:32:55.794521
Political Analysis for Public Policy-Making | PUBPOL 301,Discussion Section 09D,9014,0,15,100.0,2021-06-27 18:32:58.146619
Policy Choice as Value Conflict | PUBPOL 302D,Lecture Section 002,9016,25,90,72.22222222222221,2021-06-27 18:33:00.483120
Policy Choice as Value Conflict | PUBPOL 302D,Discussion Section 04D,9020,5,15,66.66666666666666,2021-06-27 18:33:02.816207
Policy Choice as Value Conflict | PUBPOL 302D,Discussion Section 05D,9021,6,15,60.0,2021-06-27 18:33:05.322157
Policy Choice as Value Conflict | PUBPOL 302D,Discussion Section 06D,9022,1,15,93.33333333333333,2021-06-27 18:33:07.643460
Policy Choice as Value Conflict | PUBPOL 302D,Discussion Section 07D,9818,4,15,73.33333333333333,2021-06-27 18:33:09.969808
Policy Choice as Value Conflict | PUBPOL 302D,Discussion Section 08D,9024,2,15,86.66666666666667,2021-06-27 18:33:12.280364
Policy Choice as Value Conflict | PUBPOL 302D,Discussion Section 09D,9025,7,15,53.333333333333336,2021-06-27 18:33:14.620748
Microeconomic Policy Tools | PUBPOL 303D,Lecture Section 002,9063,4,35,88.57142857142857,2021-06-27 18:33:17.116915
Microeconomic Policy Tools | PUBPOL 303D,Lecture Section 004,9065,0,1,100.0,2021-06-27 18:33:19.901838
Microeconomic Policy Tools | PUBPOL 303D,Lecture Section 005,11423,28,35,20.0,2021-06-27 18:33:22.738748
Microeconomic Policy Tools | PUBPOL 303D,Lecture Section 006,11427,1,2,50.0,2021-06-27 18:33:25.480889
Microeconomic Policy Tools | PUBPOL 303D,Discussion Section 04D,9069,0,12,100.0,2021-06-27 18:33:27.982523
Microeconomic Policy Tools | PUBPOL 303D,Discussion Section 05D,9070,5,12,58.333333333333336,2021-06-27 18:33:30.449787
Microeconomic Policy Tools | PUBPOL 303D,Discussion Section 06D,9071,1,11,90.9090909090909,2021-06-27 18:33:32.882458
Microeconomic Policy Tools | PUBPOL 303D,Discussion Section 07D,11424,11,12,8.333333333333332,2021-06-27 18:33:35.376222
Microeconomic Policy Tools | PUBPOL 303D,Discussion Section 08D,11425,7,12,41.66666666666667,2021-06-27 18:33:37.815072
Microeconomic Policy Tools | PUBPOL 303D,Discussion Section 09D,11426,10,11,9.090909090909092,2021-06-27 18:33:40.601565
Microeconomic Policy Tools | PUBPOL 303D,Discussion Section 10D,12023,9,10,10.0,2021-06-27 18:33:43.217316
Economics of the Public Sector | PUBPOL 304,Lecture Section 01,9103,10,35,71.42857142857143,2021-06-27 18:33:45.646729
Economics of the Public Sector | PUBPOL 304,Lecture Section 02,9104,25,35,28.57142857142857,2021-06-27 18:33:48.059488
Economics of the Public Sector | PUBPOL 304,Lecture Section 03,9105,0,1,100.0,2021-06-27 18:33:50.451813
Economics of the Public Sector | PUBPOL 304,Lecture Section 04,9106,-1,1,200.0,2021-06-27 18:33:53.036542
Economics of the Public Sector | PUBPOL 304,Lecture Section 05,9107,-2,35,105.71428571428572,2021-06-27 18:33:55.570992
Economics of the Public Sector | PUBPOL 304,Lecture Section 06,9108,-3,1,400.0,2021-06-27 18:33:58.215604
"Africa and Arabia: Cultures, Communities, and Connections | PUBPOL 305",Lecture Section 01,10459,7,12,41.66666666666667,2021-06-27 18:34:00.683599
"Africa and Arabia: Cultures, Communities, and Connections | PUBPOL 305",Lecture Section 02,10460,1,6,83.33333333333334,2021-06-27 18:34:03.237351
Anthropology of Money | PUBPOL 306,Lecture Section 01,5883,1,70,98.57142857142858,2021-06-27 18:34:05.703730
Business and Human Rights Advocacy Lab | PUBPOL 311S,SEM Section 01,8749,0,12,100.0,2021-06-27 18:34:08.074004
Managing the Oceans to Solve Global Problems | PUBPOL 314D,Lecture Section 001,9701,20,36,44.44444444444444,2021-06-27 18:34:10.450702
Managing the Oceans to Solve Global Problems | PUBPOL 314D,Discussion Section 01D,9702,20,36,44.44444444444444,2021-06-27 18:34:12.805924
Non-Profit Cultural Institutions | PUBPOL 318S,SEM Section 01,7867,1,16,93.75,2021-06-27 18:34:15.235880
Statecraft and Strategy | PUBPOL 320,Lecture Section 01,9759,0,33,100.0,2021-06-27 18:34:17.609445
Contemporary South Africa | PUBPOL 321S,SEM Section 01,9744,5,18,72.22222222222221,2021-06-27 18:34:19.990298
Global Health Policy: Transforming Evidence into Action | PUBPOL 324,Lecture Section 01,5984,21,40,47.5,2021-06-27 18:34:22.357178
Global Health Ethics: Policy Choice as Value Conflict | PUBPOL 330,Lecture Section 01,5981,6,45,86.66666666666667,2021-06-27 18:34:24.785695
War and Public Health in Africa | PUBPOL 333,Lecture Section 01,10309,3,18,83.33333333333334,2021-06-27 18:34:27.169617
De/Re/Segregation in Education: A Case of Back to the Future? | PUBPOL 340S,SEM Section 01,5152,0,18,100.0,2021-06-27 18:34:29.550102
Family Rights/Human Rights | PUBPOL 346S,SEM Section 01,7148,3,18,83.33333333333334,2021-06-27 18:34:31.904677
Global Environmental Politics | PUBPOL 349D,Lecture Section 001,9671,2,18,88.88888888888889,2021-06-27 18:34:34.250252
Global Environmental Politics | PUBPOL 349D,Discussion Section 01D,9672,2,18,88.88888888888889,2021-06-27 18:34:36.644676
The University as a Culture: A Survivor's Guide | PUBPOL 350S,SEM Section 01,5880,4,15,73.33333333333333,2021-06-27 18:34:39.314297
U.S. Policy in the Middle East | PUBPOL 353S,SEM Section 01,6114,0,18,100.0,2021-06-27 18:34:41.667099
Violent Jihad in the Twentieth Century - A Global History | PUBPOL 359,Lecture Section 01,7135,23,60,61.66666666666667,2021-06-27 18:34:43.996096
"Race and Society: South Africa and the US, 1890-present | PUBPOL 362S",SEM Section 01,9749,1,18,94.44444444444444,2021-06-27 18:34:46.293761
Art of the Interview | PUBPOL 364S,SEM Section 01,3070,4,12,66.66666666666666,2021-06-27 18:34:48.632186
Video Journalism | PUBPOL 365S,SEM Section 01,3072,0,6,100.0,2021-06-27 18:34:50.978905
Video Journalism | PUBPOL 365S,SEM Section 02,3075,0,6,100.0,2021-06-27 18:34:53.387832
News Writing and Reporting | PUBPOL 367S,SEM Section 01,3078,0,8,100.0,2021-06-27 18:34:55.949525
News Writing and Reporting | PUBPOL 367S,SEM Section 02,3079,3,4,25.0,2021-06-27 18:34:58.448924
News as a Moral Battleground | PUBPOL 371,Lecture Section 01,3080,0,15,100.0,2021-06-27 18:35:00.905862
News as a Moral Battleground | PUBPOL 371,Lecture Section 02,3084,1,10,90.0,2021-06-27 18:35:03.332486
Contemporary Documentary Film: Filmmakers and the Full Frame Documentary Film Festival | PUBPOL 374,Lecture Section 01,3546,6,26,76.92307692307693,2021-06-27 18:35:05.721030
Research Seminar in Sexual and Gender Minority Health | PUBPOL 378S,SEM Section 01,11210,5,15,66.66666666666666,2021-06-27 18:35:08.094442
Refugee Policy and Practice (DukeImmerse) | PUBPOL 382S,SEM Section 01,8767,18,18,0.0,2021-06-27 18:35:10.505804
Documenting Black Experiences | PUBPOL 387S,SEM Section 01,3154,1,14,92.85714285714286,2021-06-27 18:35:12.833721
Small Town USA: Local Collaborations | PUBPOL 389S,SEM Section 01,3134,1,15,93.33333333333333,2021-06-27 18:35:15.202719
Independent Study | PUBPOL 391,IND Section 01,2834,0,1,100.0,2021-06-27 18:35:17.854213
Independent Study | PUBPOL 391,IND Section 03,2835,0,1,100.0,2021-06-27 18:35:20.527988
Independent Study | PUBPOL 391,IND Section 04,2836,1,1,0.0,2021-06-27 18:35:23.049327
Independent Study | PUBPOL 391,IND Section 06,2837,1,1,0.0,2021-06-27 18:35:25.538189
Independent Study | PUBPOL 391,IND Section 07,2838,1,1,0.0,2021-06-27 18:35:28.015274
Independent Study | PUBPOL 391,IND Section 09,2839,1,1,0.0,2021-06-27 18:35:30.427574
Independent Study | PUBPOL 391,IND Section 11,2840,1,1,0.0,2021-06-27 18:35:32.888669
Independent Study | PUBPOL 391,IND Section 23,2841,1,1,0.0,2021-06-27 18:35:35.266726
Research Independent Study | PUBPOL 393,IND Section 01,2842,0,1,100.0,2021-06-27 18:35:37.665739
Research Independent Study | PUBPOL 393,IND Section 02,2843,0,1,100.0,2021-06-27 18:35:40.036469
Research Independent Study | PUBPOL 393,IND Section 03,2844,0,1,100.0,2021-06-27 18:35:42.695213
Research Independent Study | PUBPOL 393,IND Section 04,2845,1,1,0.0,2021-06-27 18:35:45.216388
Research Independent Study | PUBPOL 393,IND Section 05,2846,0,1,100.0,2021-06-27 18:35:47.628236
Research Independent Study | PUBPOL 393,IND Section 06,2847,1,1,0.0,2021-06-27 18:35:50.018707
Children and the Experience of Illness | PUBPOL 395S,SEM Section 01,3129,0,12,100.0,2021-06-27 18:35:52.436515
Capstone Course for Certificate in Civic Engagement and Social Change: Lives of Civic Engagement | PUBPOL 401S,SEM Section 01,8771,12,18,33.33333333333333,2021-06-27 18:35:54.808978
Multidisciplinary Approaches to Contemporary Children's Issues | PUBPOL 420S,SEM Section 01,2957,11,15,26.666666666666668,2021-06-27 18:35:57.173330
Global Inequality Research Seminar | PUBPOL 435S,SEM Section 02,11793,0,15,100.0,2021-06-27 18:35:59.565954
Building a Sustainable Tomorrow | PUBPOL 473SD,SEM Section 001,10843,6,10,40.0,2021-06-27 18:36:02.026216
Building a Sustainable Tomorrow | PUBPOL 473SD,Discussion Section 01D,10857,6,10,40.0,2021-06-27 18:36:04.476504
Honors Project: Research Independent Study | PUBPOL 494,IND Section 01,2848,0,1,100.0,2021-06-27 18:36:06.814569
Honors Project: Research Independent Study | PUBPOL 494,IND Section 02,2849,0,1,100.0,2021-06-27 18:36:09.148373
Honors Project: Research Independent Study | PUBPOL 494,IND Section 03,2850,0,1,100.0,2021-06-27 18:36:11.511150
Honors Project: Research Independent Study | PUBPOL 494,IND Section 04,2851,0,1,100.0,2021-06-27 18:36:13.851679
Honors Project: Research Independent Study | PUBPOL 494,IND Section 05,2852,1,1,0.0,2021-06-27 18:36:16.246547
Honors Project: Research Independent Study | PUBPOL 494,IND Section 06,2853,1,1,0.0,2021-06-27 18:36:18.667458
Honors Project: Research Independent Study | PUBPOL 494,IND Section 07,2854,1,1,0.0,2021-06-27 18:36:21.097903
Honors Project: Research Independent Study | PUBPOL 494,IND Section 08,2855,1,1,0.0,2021-06-27 18:36:23.532360
Honors Seminar | PUBPOL 495S,SEM Section 01,9030,1,15,93.33333333333333,2021-06-27 18:36:25.955044
Honors Seminar | PUBPOL 495S,SEM Section 02,9031,0,15,100.0,2021-06-27 18:36:28.398632
Honors Seminar | PUBPOL 495S,SEM Section 03,11505,1,15,93.33333333333333,2021-06-27 18:36:30.780533
Honors Seminar | PUBPOL 495S,SEM Section 04,11506,4,15,73.33333333333333,2021-06-27 18:36:33.252591
Honors Seminar | PUBPOL 495S,SEM Section 05,11853,14,15,6.666666666666667,2021-06-27 18:36:35.708592
