Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
Programming and Problem Solving | COMPSCI 94,Lecture Section 01,10200,0,32,100.0,2021-06-27 17:18:43.115642
Computer Architecture | COMPSCI 250D,Discussion Section 09D,6395,1,25,96.0,2021-06-27 18:15:45.357121
Computer Architecture | COMPSCI 250D,Discussion Section 10D,6396,0,25,100.0,2021-06-27 18:15:47.901994
Computer Architecture | COMPSCI 250D,Discussion Section 11D,6397,1,25,96.0,2021-06-27 18:15:50.340955
Computer Architecture | COMPSCI 250D,Discussion Section 12D,6398,2,25,92.0,2021-06-27 18:15:52.818290
Computer Architecture | COMPSCI 250D,Discussion Section 13D,6399,4,25,84.0,2021-06-27 18:15:55.196531
Computer Architecture | COMPSCI 250D,Discussion Section 14D,6400,3,25,88.0,2021-06-27 18:15:57.579974
Computer Architecture | COMPSCI 250D,Discussion Section 15D,6401,3,16,81.25,2021-06-27 18:16:00.017730
Computer Architecture | COMPSCI 250D,Discussion Section 16D,10224,26,80,67.5,2021-06-27 18:16:02.430215
Computer Architecture | COMPSCI 250D,Discussion Section 17D,11416,0,25,100.0,2021-06-27 18:16:04.888341
Computer Architecture | COMPSCI 250D,Discussion Section 18D,11744,4,5,20.0,2021-06-27 18:16:07.345036
Introduction to Computational Genomics | COMPSCI 260,Lecture Section 01,6721,28,80,65.0,2021-06-27 18:16:09.728261
Topics in Computer Science | COMPSCI 290,Lecture Section 02,6723,24,87,72.41379310344827,2021-06-27 18:16:12.089143
Topics in Computer Science | COMPSCI 290,Lecture Section 04,6725,6,22,72.72727272727273,2021-06-27 18:16:14.517418
Advanced Software Design and Implementation | COMPSCI 308,Lecture Section 001,6726,59,100,41.0,2021-06-27 18:16:16.840128
Advanced Software Design and Implementation | COMPSCI 308,Discussion Section 01D,6727,59,100,41.0,2021-06-27 18:16:19.239168
Introduction to Operating Systems | COMPSCI 310,Lecture Section 001,6728,7,100,93.0,2021-06-27 18:16:21.677225
Introduction to Operating Systems | COMPSCI 310,Lecture Section 002,6729,0,25,100.0,2021-06-27 18:16:24.176941
Introduction to Operating Systems | COMPSCI 310,Discussion Section 01D,6730,7,100,93.0,2021-06-27 18:16:26.819947
Introduction to Operating Systems | COMPSCI 310,Discussion Section 02D,6731,0,25,100.0,2021-06-27 18:16:29.287533
Introduction to the Design and Analysis of Algorithms | COMPSCI 330,Lecture Section 001,6732,47,240,80.41666666666667,2021-06-27 18:16:31.874817
Introduction to the Design and Analysis of Algorithms | COMPSCI 330,Lecture Section 002,6733,0,6,100.0,2021-06-27 18:16:35.003584
Introduction to the Design and Analysis of Algorithms | COMPSCI 330,Discussion Section 01D,6734,14,50,72.0,2021-06-27 18:16:37.459073
Introduction to the Design and Analysis of Algorithms | COMPSCI 330,Discussion Section 02D,6735,1,43,97.67441860465115,2021-06-27 18:16:39.822664
Introduction to the Design and Analysis of Algorithms | COMPSCI 330,Discussion Section 03D,6736,5,40,87.5,2021-06-27 18:16:42.289037
Introduction to the Design and Analysis of Algorithms | COMPSCI 330,Discussion Section 04D,6737,1,46,97.82608695652173,2021-06-27 18:16:44.630149
Introduction to the Design and Analysis of Algorithms | COMPSCI 330,Discussion Section 05D,6738,10,45,77.77777777777779,2021-06-27 18:16:47.011752
Introduction to the Design and Analysis of Algorithms | COMPSCI 330,Discussion Section 08D,6741,0,1,100.0,2021-06-27 18:16:49.347735
Introduction to the Design and Analysis of Algorithms | COMPSCI 330,Discussion Section 09D,6742,0,1,100.0,2021-06-27 18:16:51.835835
Introduction to the Design and Analysis of Algorithms | COMPSCI 330,Discussion Section 10D,6743,0,1,100.0,2021-06-27 18:16:54.307540
Introduction to the Design and Analysis of Algorithms | COMPSCI 330,Discussion Section 11D,6744,0,1,100.0,2021-06-27 18:16:56.736497
Mathematical Foundations of Computer Science | COMPSCI 334,Lecture Section 01,6745,22,30,26.666666666666668,2021-06-27 18:16:59.186646
Technical and Social Analysis of Information and the Internet | COMPSCI 342,Lecture Section 01,6747,9,290,96.89655172413794,2021-06-27 18:17:01.647265
Technical and Social Analysis of Information and the Internet | COMPSCI 342,Lecture Section 03,6748,0,1,100.0,2021-06-27 18:17:04.089646
Digital Systems | COMPSCI 350L,Lecture Section 001,6402,0,72,100.0,2021-06-27 18:17:06.952366
Digital Systems | COMPSCI 350L,Laboratory Section 01L,6403,0,7,100.0,2021-06-27 18:17:09.750040
Digital Systems | COMPSCI 350L,Laboratory Section 02L,6404,0,7,100.0,2021-06-27 18:17:12.168900
Digital Systems | COMPSCI 350L,Laboratory Section 03L,6405,0,7,100.0,2021-06-27 18:17:14.512463
Digital Systems | COMPSCI 350L,Laboratory Section 04L,6406,0,7,100.0,2021-06-27 18:17:16.948796
Digital Systems | COMPSCI 350L,Laboratory Section 05L,6407,0,7,100.0,2021-06-27 18:17:19.386870
Digital Systems | COMPSCI 350L,Laboratory Section 06L,11283,0,7,100.0,2021-06-27 18:17:21.797734
Digital Systems | COMPSCI 350L,Laboratory Section 07L,11285,0,7,100.0,2021-06-27 18:17:24.205856
Digital Systems | COMPSCI 350L,Laboratory Section 08L,11287,0,7,100.0,2021-06-27 18:17:26.786829
Digital Systems | COMPSCI 350L,Laboratory Section 09L,11289,0,7,100.0,2021-06-27 18:17:29.229457
Computer Network Architecture | COMPSCI 356,Lecture Section 01,6749,21,90,76.66666666666667,2021-06-27 18:17:31.642911
Introduction to Artificial Intelligence | COMPSCI 370D,Lecture Section 001,6750,55,140,60.71428571428571,2021-06-27 18:17:34.035629
Introduction to Artificial Intelligence | COMPSCI 370D,Lecture Section 002,11988,0,1,100.0,2021-06-27 18:17:36.440871
Introduction to Artificial Intelligence | COMPSCI 370D,Discussion Section 01D,6751,29,70,58.57142857142858,2021-06-27 18:17:38.785270
Introduction to Artificial Intelligence | COMPSCI 370D,Discussion Section 02D,6752,26,70,62.857142857142854,2021-06-27 18:17:41.136962
Introduction to Artificial Intelligence | COMPSCI 370D,Discussion Section 03D,11989,0,1,100.0,2021-06-27 18:17:43.678422
Topics in Computer Science | COMPSCI 390,Lecture Section 01,6753,45,60,25.0,2021-06-27 18:17:46.052543
Independent Study | COMPSCI 391,IND Section 01,6754,1,2,50.0,2021-06-27 18:17:48.565294
Independent Study | COMPSCI 391,IND Section 02,6755,0,2,100.0,2021-06-27 18:17:51.158347
Independent Study | COMPSCI 391,IND Section 03,6756,0,2,100.0,2021-06-27 18:17:53.616826
Independent Study | COMPSCI 391,IND Section 04,6757,1,2,50.0,2021-06-27 18:17:56.371826
Independent Study | COMPSCI 391,IND Section 05,6758,3,4,25.0,2021-06-27 18:17:59.107103
Independent Study | COMPSCI 391,IND Section 06,6759,3,4,25.0,2021-06-27 18:18:01.561437
Independent Study | COMPSCI 391,IND Section 07,6847,0,2,100.0,2021-06-27 18:18:04.018868
Independent Study | COMPSCI 391,IND Section 08,6760,3,4,25.0,2021-06-27 18:18:06.430023
Independent Study | COMPSCI 391,IND Section 09,6761,1,2,50.0,2021-06-27 18:18:08.787851
Independent Study | COMPSCI 391,IND Section 10,6762,2,2,0.0,2021-06-27 18:18:11.247688
Independent Study | COMPSCI 391,IND Section 11,6763,2,2,0.0,2021-06-27 18:18:13.718917
Independent Study | COMPSCI 391,IND Section 12,6764,2,2,0.0,2021-06-27 18:18:16.233484
Independent Study | COMPSCI 391,IND Section 13,6765,2,2,0.0,2021-06-27 18:18:18.878539
Independent Study | COMPSCI 391,IND Section 14,6766,2,2,0.0,2021-06-27 18:18:21.237880
Independent Study | COMPSCI 391,IND Section 15,6767,2,2,0.0,2021-06-27 18:18:23.612329
Independent Study | COMPSCI 391,IND Section 16,6768,2,2,0.0,2021-06-27 18:18:26.004537
Independent Study | COMPSCI 391,IND Section 17,6769,2,2,0.0,2021-06-27 18:18:28.377545
Independent Study | COMPSCI 391,IND Section 18,6770,2,2,0.0,2021-06-27 18:18:30.715562
Independent Study | COMPSCI 391,IND Section 19,6771,2,2,0.0,2021-06-27 18:18:33.211756
Independent Study | COMPSCI 391,IND Section 20,6772,2,2,0.0,2021-06-27 18:18:35.565209
Independent Study | COMPSCI 391,IND Section 21,6773,2,2,0.0,2021-06-27 18:18:37.965365
Independent Study | COMPSCI 391,IND Section 22,6774,2,2,0.0,2021-06-27 18:18:40.319782
Independent Study | COMPSCI 391,IND Section 23,6775,2,2,0.0,2021-06-27 18:18:42.656644
Independent Study | COMPSCI 391,IND Section 24,6776,2,2,0.0,2021-06-27 18:18:45.005881
Independent Study | COMPSCI 391,IND Section 25,6777,2,2,0.0,2021-06-27 18:18:47.416392
Independent Study | COMPSCI 391,IND Section 26,6778,5,5,0.0,2021-06-27 18:18:49.748363
Independent Study | COMPSCI 391,IND Section 27,6779,3,3,0.0,2021-06-27 18:18:52.078027
Independent Study | COMPSCI 391,IND Section 28,6780,2,2,0.0,2021-06-27 18:18:54.400383
Independent Study | COMPSCI 391,IND Section 29,6781,2,2,0.0,2021-06-27 18:18:56.781525
Independent Study | COMPSCI 391,IND Section 30,6782,2,2,0.0,2021-06-27 18:18:59.208925
Independent Study | COMPSCI 391,IND Section 31,6783,4,4,0.0,2021-06-27 18:19:01.678824
Independent Study | COMPSCI 391,IND Section 32,6784,4,4,0.0,2021-06-27 18:19:04.249129
Independent Study | COMPSCI 391,IND Section 33,6785,4,4,0.0,2021-06-27 18:19:06.710478
Independent Study | COMPSCI 391,IND Section 34,6786,4,4,0.0,2021-06-27 18:19:09.149051
Independent Study | COMPSCI 391,IND Section 35,6787,4,4,0.0,2021-06-27 18:19:11.554546
Independent Study | COMPSCI 391,IND Section 36,6788,4,4,0.0,2021-06-27 18:19:13.909542
Independent Study | COMPSCI 391,IND Section 37,6789,4,4,0.0,2021-06-27 18:19:16.231035
Research Independent Study | COMPSCI 394,IND Section 01,6790,1,2,50.0,2021-06-27 18:19:18.532994
Research Independent Study | COMPSCI 394,IND Section 02,6791,1,2,50.0,2021-06-27 18:19:20.837092
Research Independent Study | COMPSCI 394,IND Section 03,6792,1,2,50.0,2021-06-27 18:19:23.159383
Research Independent Study | COMPSCI 394,IND Section 05,6793,1,2,50.0,2021-06-27 18:19:25.521772
Research Independent Study | COMPSCI 394,IND Section 06,6794,1,2,50.0,2021-06-27 18:19:27.996219
Research Independent Study | COMPSCI 394,IND Section 07,6795,9,10,10.0,2021-06-27 18:19:30.351861
Research Independent Study | COMPSCI 394,IND Section 08,6796,1,2,50.0,2021-06-27 18:19:32.839443
Research Independent Study | COMPSCI 394,IND Section 10,6797,1,2,50.0,2021-06-27 18:19:35.341318
Research Independent Study | COMPSCI 394,IND Section 11,6798,1,2,50.0,2021-06-27 18:19:37.705886
Research Independent Study | COMPSCI 394,IND Section 13,6799,1,2,50.0,2021-06-27 18:19:40.202035
Research Independent Study | COMPSCI 394,IND Section 14,6800,1,2,50.0,2021-06-27 18:19:42.744576
Research Independent Study | COMPSCI 394,IND Section 15,6801,1,2,50.0,2021-06-27 18:19:45.210802
Research Independent Study | COMPSCI 394,IND Section 16,6802,1,2,50.0,2021-06-27 18:19:47.576652
Research Independent Study | COMPSCI 394,IND Section 17,6803,1,2,50.0,2021-06-27 18:19:50.037865
Research Independent Study | COMPSCI 394,IND Section 18,6804,1,2,50.0,2021-06-27 18:19:52.453233
Research Independent Study | COMPSCI 394,IND Section 19,6805,1,2,50.0,2021-06-27 18:19:54.803856
Research Independent Study | COMPSCI 394,IND Section 20,6806,2,2,0.0,2021-06-27 18:19:57.142315
Research Independent Study | COMPSCI 394,IND Section 21,6807,2,2,0.0,2021-06-27 18:19:59.493000
Research Independent Study | COMPSCI 394,IND Section 22,6808,2,2,0.0,2021-06-27 18:20:01.833651
Research Independent Study | COMPSCI 394,IND Section 23,6809,2,2,0.0,2021-06-27 18:20:04.218122
Research Independent Study | COMPSCI 394,IND Section 24,6810,2,2,0.0,2021-06-27 18:20:06.581611
Research Independent Study | COMPSCI 394,IND Section 28,6811,2,2,0.0,2021-06-27 18:20:08.920461
Research Independent Study | COMPSCI 394,IND Section 29,6812,2,2,0.0,2021-06-27 18:20:11.330166
Research Independent Study | COMPSCI 394,IND Section 30,6813,2,2,0.0,2021-06-27 18:20:13.787454
Research Independent Study | COMPSCI 394,IND Section 31,6814,1,1,0.0,2021-06-27 18:20:16.260899
Research Independent Study | COMPSCI 394,IND Section 32,6815,1,1,0.0,2021-06-27 18:20:18.648877
Research Independent Study | COMPSCI 394,IND Section 33,6816,1,1,0.0,2021-06-27 18:20:21.033530
Research Independent Study | COMPSCI 394,IND Section 34,6817,2,2,0.0,2021-06-27 18:20:23.376512
Research Independent Study | COMPSCI 394,IND Section 35,6818,2,2,0.0,2021-06-27 18:20:25.790978
Research Independent Study | COMPSCI 394,IND Section 36,6819,2,2,0.0,2021-06-27 18:20:28.100403
Research Independent Study | COMPSCI 394,IND Section 37,6820,2,2,0.0,2021-06-27 18:20:30.498691
Research Independent Study | COMPSCI 394,IND Section 38,6821,2,2,0.0,2021-06-27 18:20:32.845383
Research Independent Study | COMPSCI 394,IND Section 39,6822,2,2,0.0,2021-06-27 18:20:35.241365
Research Independent Study | COMPSCI 394,IND Section 40,6823,2,2,0.0,2021-06-27 18:20:37.626047
Data Science Competition | COMPSCI 474,Lecture Section 01,9753,5,21,76.19047619047619,2021-06-27 18:20:40.050865
