Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
First-Year Seminar | HISTORY 89S,SEM Section 01,7078,14,18,22.22222222222222,2021-06-27 17:25:14.251149
Research Independent Study | HISTORY 394,IND Section 28,7039,5,5,0.0,2021-06-27 18:25:13.181337
Research Independent Study | HISTORY 394,IND Section 29,7040,5,5,0.0,2021-06-27 18:25:15.657325
Research Independent Study | HISTORY 394,IND Section 30,7041,5,5,0.0,2021-06-27 18:25:18.017346
"Istanbul: Religion, Politics and Cosmopolitanism | HISTORY 397S",SEM Section 01,6645,12,15,20.0,2021-06-27 18:25:20.387634
"Visualizing Cities: Representing Urban Landscapes, Cultures, and Environments | HISTORY 406",Lecture Section 01,11148,9,25,64.0,2021-06-27 18:25:22.788475
Capstone Seminar: Leadership in American History | HISTORY 470S,SEM Section 01,7042,2,18,88.88888888888889,2021-06-27 18:25:25.282074
Capstone Seminar: Russia in World War II | HISTORY 472S,SEM Section 01,7043,11,18,38.88888888888889,2021-06-27 18:25:27.594413
Capstone Seminar: History of Torture | HISTORY 483S,SEM Section 01,7044,11,18,38.88888888888889,2021-06-27 18:25:29.915346
Capstone: Research in Human Rights | HISTORY 488S,SEM Section 01,10853,10,18,44.44444444444444,2021-06-27 18:25:32.263258
Senior Thesis Seminar | HISTORY 496S,SEM Section 01,7045,7,15,53.333333333333336,2021-06-27 18:25:34.601383
