Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
First-Year Seminar | MUSIC 89S,SEM Section 04,4284,7,14,50.0,2021-06-27 17:31:46.776234
Let's Dance! Live Art and Performance | MUSIC 165,Lecture Section 01,5727,6,9,33.33333333333333,2021-06-27 18:30:13.858909
Let's Dance! Live Art and Performance | MUSIC 165,Lecture Section 02,5729,9,9,0.0,2021-06-27 18:30:16.681214
The Songwriter's Vocabulary | MUSIC 176,Lecture Section 01,10024,8,16,50.0,2021-06-27 18:30:19.203575
Special Topics in Music | MUSIC 190S,SEM Section 01,4118,1,16,93.75,2021-06-27 18:30:21.618178
Special Topics in Music | MUSIC 190S,SEM Section 02,4119,17,18,5.555555555555555,2021-06-27 18:30:24.090846
Special Topics in Music | MUSIC 190S,SEM Section 03,4120,16,18,11.11111111111111,2021-06-27 18:30:26.503586
Special Topics in Music | MUSIC 190S,SEM Section 04,4121,11,18,38.88888888888889,2021-06-27 18:30:29.055266
Special Topics in Music | MUSIC 190S,SEM Section 05,6638,1,18,94.44444444444444,2021-06-27 18:30:31.441010
Classical Piano | MUSIC 203-1,MUS Section 01,4122,14,15,6.666666666666667,2021-06-27 18:30:33.851388
Classical Piano | MUSIC 203-1,MUS Section 02,4123,4,16,75.0,2021-06-27 18:30:36.228653
Classical Piano | MUSIC 203-1,MUS Section 03,4124,2,10,80.0,2021-06-27 18:30:38.622546
Classical Piano | MUSIC 203-1,MUS Section 04,4125,2,11,81.81818181818183,2021-06-27 18:30:40.943285
Classical Piano | MUSIC 203-1,MUS Section 05,4126,7,10,30.0,2021-06-27 18:30:43.253434
Classical Piano | MUSIC 203-1,MUS Section 06,4127,5,5,0.0,2021-06-27 18:30:45.569136
Jazz Piano | MUSIC 203-2,MUS Section 01,4128,10,10,0.0,2021-06-27 18:30:47.893733
Organ | MUSIC 203-3,MUS Section 01,4129,6,10,40.0,2021-06-27 18:30:50.252473
Harpsichord | MUSIC 203-4,MUS Section 01,4130,10,10,0.0,2021-06-27 18:30:52.600099
Violin | MUSIC 204-1,MUS Section 01,4131,8,10,20.0,2021-06-27 18:30:55.036877
Violin | MUSIC 204-1,MUS Section 02,4132,3,10,70.0,2021-06-27 18:30:57.425402
Violin | MUSIC 204-1,MUS Section 03,4133,7,10,30.0,2021-06-27 18:30:59.878829
Violin | MUSIC 204-1,MUS Section 04,4134,9,10,10.0,2021-06-27 18:31:02.266239
Violin | MUSIC 204-1,MUS Section 05,4135,7,10,30.0,2021-06-27 18:31:04.689887
Violin | MUSIC 204-1,MUS Section 06,10025,8,10,20.0,2021-06-27 18:31:07.075041
Viola | MUSIC 204-2,MUS Section 01,4136,8,10,20.0,2021-06-27 18:31:09.564599
Viola | MUSIC 204-2,MUS Section 02,4137,9,10,10.0,2021-06-27 18:31:11.869310
Cello | MUSIC 204-3,MUS Section 01,4138,6,10,40.0,2021-06-27 18:31:14.196335
Double Bass | MUSIC 204-4,MUS Section 01,4139,10,10,0.0,2021-06-27 18:31:16.532635
Classical Guitar | MUSIC 204-5,MUS Section 01,4140,7,10,30.0,2021-06-27 18:31:18.965347
Jazz Guitar | MUSIC 204-6,MUS Section 01,4141,5,10,50.0,2021-06-27 18:31:21.366528
Harp | MUSIC 204-7,MUS Section 01,4142,7,10,30.0,2021-06-27 18:31:23.766141
Flute | MUSIC 205-1,MUS Section 01,4143,7,10,30.0,2021-06-27 18:31:26.234865
Flute | MUSIC 205-1,MUS Section 02,10621,10,10,0.0,2021-06-27 18:31:28.789299
Oboe | MUSIC 205-2,MUS Section 01,4144,8,10,20.0,2021-06-27 18:31:31.213422
Clarinet | MUSIC 205-3,MUS Section 01,4145,10,10,0.0,2021-06-27 18:31:33.652179
Bassoon | MUSIC 205-4,MUS Section 01,4146,9,10,10.0,2021-06-27 18:31:36.042557
Saxophone | MUSIC 205-5,MUS Section 01,4147,7,10,30.0,2021-06-27 18:31:38.425200
Jazz Saxophone | MUSIC 205-6,MUS Section 01,4148,9,10,10.0,2021-06-27 18:31:40.787904
Trumpet | MUSIC 206-1,MUS Section 01,4149,9,10,10.0,2021-06-27 18:31:43.226764
French Horn | MUSIC 206-2,MUS Section 01,4150,10,10,0.0,2021-06-27 18:31:45.652727
Trombone | MUSIC 206-3,MUS Section 01,4151,10,10,0.0,2021-06-27 18:31:47.992795
Tuba | MUSIC 206-4,MUS Section 01,4152,10,10,0.0,2021-06-27 18:31:50.428743
Percussion | MUSIC 207-1,MUS Section 01,4153,10,10,0.0,2021-06-27 18:31:52.750325
Voice | MUSIC 208,MUS Section 01,4154,15,25,40.0,2021-06-27 18:31:55.103057
Voice | MUSIC 208,MUS Section 02,4155,4,10,60.0,2021-06-27 18:31:57.466413
Voice | MUSIC 208,MUS Section 03,4156,3,13,76.92307692307693,2021-06-27 18:31:59.882717
Voice | MUSIC 208,MUS Section 04,4157,4,10,60.0,2021-06-27 18:32:02.239432
Jazz Ensemble | MUSIC 210-4,MUS Section 01,4162,67,75,10.666666666666668,2021-06-27 18:32:04.569023
Jazz Ensemble | MUSIC 210-4,MUS Section 02,4163,4,5,20.0,2021-06-27 18:32:06.928617
Duke Symphony Orchestra and Duke Wind Symphony Joint Ensemble | MUSIC 210-7,MUS Section 01,4164,75,99,24.242424242424242,2021-06-27 18:32:09.267480
Duke Symphony Orchestra and Duke Wind Symphony Joint Ensemble | MUSIC 210-7,MUS Section 02,11863,11,13,15.384615384615385,2021-06-27 18:32:11.639069
Collegium Musicum | MUSIC 211-1,MUS Section 01,4165,12,12,0.0,2021-06-27 18:32:13.998066
Chamber Music | MUSIC 211-2,MUS Section 01,4166,21,25,16.0,2021-06-27 18:32:16.332612
Chamber Music | MUSIC 211-2,MUS Section 02,4167,10,10,0.0,2021-06-27 18:32:18.657827
Chamber Music | MUSIC 211-2,MUS Section 03,4168,0,10,100.0,2021-06-27 18:32:20.986416
Chamber Music | MUSIC 211-2,MUS Section 04,4169,5,10,50.0,2021-06-27 18:32:23.312847
Chamber Music | MUSIC 211-2,MUS Section 05,4170,13,20,35.0,2021-06-27 18:32:25.631255
Chamber Music | MUSIC 211-2,MUS Section 06,4171,7,10,30.0,2021-06-27 18:32:27.962783
Chamber Music | MUSIC 211-2,MUS Section 07,4172,10,10,0.0,2021-06-27 18:32:30.273321
Chamber Music | MUSIC 211-2,MUS Section 08,4173,6,10,40.0,2021-06-27 18:32:32.621508
Chamber Music | MUSIC 211-2,MUS Section 09,4174,7,10,30.0,2021-06-27 18:32:35.018463
Chamber Music | MUSIC 211-2,MUS Section 10,4175,10,10,0.0,2021-06-27 18:32:37.414082
Chamber Music | MUSIC 211-2,MUS Section 11,4176,7,10,30.0,2021-06-27 18:32:39.819102
Chamber Music | MUSIC 211-2,MUS Section 12,4177,5,10,50.0,2021-06-27 18:32:42.186375
Chamber Music | MUSIC 211-2,MUS Section 13,4178,10,10,0.0,2021-06-27 18:32:44.615876
Chamber Music | MUSIC 211-2,MUS Section 14,4179,10,10,0.0,2021-06-27 18:32:47.100394
Chamber Music | MUSIC 211-2,MUS Section 15,4180,6,10,40.0,2021-06-27 18:32:49.602581
Chamber Music | MUSIC 211-2,MUS Section 16,10026,2,10,80.0,2021-06-27 18:32:52.096458
Djembe Ensemble | MUSIC 212-1,MUS Section 01,4181,10,10,0.0,2021-06-27 18:32:54.601431
Afro-Cuban Percussion | MUSIC 212-2,MUS Section 01,4182,10,10,0.0,2021-06-27 18:32:56.949558
Opera Theater | MUSIC 213-1,MUS Section 01,4183,17,25,32.0,2021-06-27 18:32:59.301320
Opera Theater | MUSIC 213-1,MUS Section 02,4184,13,20,35.0,2021-06-27 18:33:01.669914
Chapel Choir | MUSIC 213-2,MUS Section 01,4185,145,150,3.3333333333333335,2021-06-27 18:33:04.059627
Chorale | MUSIC 213-3,MUS Section 01,4186,14,30,53.333333333333336,2021-06-27 18:33:06.414485
Writing the Musical Book | MUSIC 220S,SEM Section 01,7856,3,16,81.25,2021-06-27 18:33:08.742295
American Musicals | MUSIC 243S,SEM Section 01,7854,0,16,100.0,2021-06-27 18:33:11.087881
Music History II: 1600 through Mozart | MUSIC 256S,SEM Section 01,4187,8,18,55.55555555555556,2021-06-27 18:33:13.449078
Music History IV: Post-WWI through the Present | MUSIC 258,Lecture Section 01,4188,2,4,50.0,2021-06-27 18:33:15.815404
Music History IV: Post-WWI through the Present | MUSIC 258,Lecture Section 02,10415,6,12,50.0,2021-06-27 18:33:18.421197
Theory and Practice of Tonal Music I | MUSIC 261,Lecture Section 001,4189,6,16,62.5,2021-06-27 18:33:21.296008
Theory and Practice of Tonal Music I | MUSIC 261,Laboratory Section 01L,4190,6,16,62.5,2021-06-27 18:33:24.160923
Social Entrepreneurship and the Arts | MUSIC 264S,SEM Section 01,9758,4,18,77.77777777777779,2021-06-27 18:33:26.733496
Composition Seminar - Transcribing and Arranging Music for Chamber Ensembles | MUSIC 281S,SEM Section 01,9738,2,10,80.0,2021-06-27 18:33:29.517355
Composition Seminar - Transcribing and Arranging Music for Chamber Ensembles | MUSIC 281S,SEM Section 02,9739,10,10,0.0,2021-06-27 18:33:31.966963
Composition I | MUSIC 281T,TUT Section 01,4191,0,1,100.0,2021-06-27 18:33:34.501699
Composition I | MUSIC 281T,TUT Section 02,4192,8,10,20.0,2021-06-27 18:33:36.864147
Composition I | MUSIC 281T,TUT Section 03,4193,9,10,10.0,2021-06-27 18:33:39.259656
Composition I | MUSIC 281T,TUT Section 04,4194,0,1,100.0,2021-06-27 18:33:41.846200
Composition I | MUSIC 281T,TUT Section 05,10027,10,10,0.0,2021-06-27 18:33:44.312181
Critical Pedagogy of Hip Hop | MUSIC 285S,SEM Section 01,11161,0,18,100.0,2021-06-27 18:33:46.727384
Special Topics in Music | MUSIC 290S,SEM Section 01,7861,8,11,27.27272727272727,2021-06-27 18:33:49.177877
Special Topics in Music | MUSIC 290S,SEM Section 02,6646,15,18,16.666666666666664,2021-06-27 18:33:51.635449
Arts Entrepreneurship | MUSIC 295S,SEM Section 01,4197,3,18,83.33333333333334,2021-06-27 18:33:54.141142
Non-Profit Cultural Institutions | MUSIC 310S,SEM Section 01,11212,1,16,93.75,2021-06-27 18:33:56.677778
Choral Conducting | MUSIC 319,MUS Section 01,4199,11,16,31.25,2021-06-27 18:33:59.072603
Sample & Remix: Contemporary Cultural Production Across Arts & Media | MUSIC 321,Lecture Section 01,7774,2,30,93.33333333333333,2021-06-27 18:34:01.561063
The History of Hip-Hop | MUSIC 335,Lecture Section 01,5544,0,130,100.0,2021-06-27 18:34:04.017279
Introduction to Hip-Hop Production | MUSIC 337S,SEM Section 01,10434,1,18,94.44444444444444,2021-06-27 18:34:06.425682
Theory and Practice of Tonal Music II | MUSIC 361,Lecture Section 001,4200,9,16,43.75,2021-06-27 18:34:08.785423
Theory and Practice of Tonal Music II | MUSIC 361,Laboratory Section 01L,4201,9,16,43.75,2021-06-27 18:34:11.152558
Composition II | MUSIC 381T,TUT Section 01,4202,4,4,0.0,2021-06-27 18:34:13.552003
Composition II | MUSIC 381T,TUT Section 02,4203,1,4,75.0,2021-06-27 18:34:15.886754
Composition II | MUSIC 381T,TUT Section 03,4204,4,4,0.0,2021-06-27 18:34:18.220603
Composition II | MUSIC 381T,TUT Section 04,4205,4,4,0.0,2021-06-27 18:34:20.554689
Composition II | MUSIC 381T,TUT Section 05,10028,4,4,0.0,2021-06-27 18:34:22.956316
Advanced Special Topics in Music | MUSIC 390S-1,SEM Section 03,9387,8,15,46.666666666666664,2021-06-27 18:34:25.366246
Advanced Special Topics in Music | MUSIC 390S-1,SEM Section 04,10050,0,9,100.0,2021-06-27 18:34:27.749514
Independent Study | MUSIC 391,IND Section 01,4206,2,3,33.33333333333333,2021-06-27 18:34:30.116295
Research Independent Study | MUSIC 393,IND Section 01,4207,2,3,33.33333333333333,2021-06-27 18:34:32.489551
Research Independent Study | MUSIC 393,IND Section 02,4208,3,3,0.0,2021-06-27 18:34:34.880633
Research Independent Study | MUSIC 393,IND Section 03,4209,3,3,0.0,2021-06-27 18:34:37.292529
Research Independent Study | MUSIC 393,IND Section 04,4210,3,3,0.0,2021-06-27 18:34:39.737018
Research Independent Study | MUSIC 393,IND Section 05,4211,3,3,0.0,2021-06-27 18:34:42.243263
Research Independent Study | MUSIC 393,IND Section 06,4212,3,3,0.0,2021-06-27 18:34:44.600100
Research Independent Study | MUSIC 393,IND Section 07,4213,3,3,0.0,2021-06-27 18:34:47.035525
Research Independent Study | MUSIC 393,IND Section 08,4214,2,3,33.33333333333333,2021-06-27 18:34:49.459261
Research Independent Study | MUSIC 393,IND Section 09,4215,3,3,0.0,2021-06-27 18:34:51.864137
Research Independent Study | MUSIC 393,IND Section 10,4216,3,3,0.0,2021-06-27 18:34:54.268223
Advanced Study in Musical Performance | MUSIC 401,MUS Section 04,4217,10,10,0.0,2021-06-27 18:34:56.666015
Advanced Study in Musical Performance | MUSIC 401,MUS Section 05,4218,10,10,0.0,2021-06-27 18:34:59.114002
Advanced Study in Musical Performance | MUSIC 401,MUS Section 06,4219,10,10,0.0,2021-06-27 18:35:01.604061
Advanced Study in Musical Performance | MUSIC 401,MUS Section 07,4220,10,10,0.0,2021-06-27 18:35:04.029107
Advanced Study in Musical Performance | MUSIC 401,MUS Section 09,4221,10,10,0.0,2021-06-27 18:35:06.596030
Advanced Study in Musical Performance | MUSIC 401,MUS Section 14,4222,10,10,0.0,2021-06-27 18:35:08.945273
Advanced Study in Musical Performance | MUSIC 401,MUS Section 15,4223,9,10,10.0,2021-06-27 18:35:11.294485
Advanced Study in Musical Performance | MUSIC 401,MUS Section 16,4224,9,10,10.0,2021-06-27 18:35:13.695018
Advanced Study in Musical Performance | MUSIC 401,MUS Section 17,4225,10,10,0.0,2021-06-27 18:35:16.088936
Advanced Study in Musical Performance | MUSIC 401,MUS Section 21,4226,10,10,0.0,2021-06-27 18:35:18.500105
Advanced Study in Musical Performance | MUSIC 401,MUS Section 22,4227,10,10,0.0,2021-06-27 18:35:21.038066
Advanced Study in Musical Performance | MUSIC 401,MUS Section 23,4228,10,10,0.0,2021-06-27 18:35:23.739894
Advanced Study in Musical Performance | MUSIC 401,MUS Section 24,4229,10,10,0.0,2021-06-27 18:35:26.145128
Advanced Study in Musical Performance | MUSIC 401,MUS Section 25,4230,9,10,10.0,2021-06-27 18:35:28.512291
Advanced Study in Musical Performance | MUSIC 401,MUS Section 28,4231,10,10,0.0,2021-06-27 18:35:30.857838
Advanced Study in Musical Performance | MUSIC 401,MUS Section 29,4232,5,10,50.0,2021-06-27 18:35:33.232628
Advanced Study in Musical Performance | MUSIC 401,MUS Section 30,4233,8,10,20.0,2021-06-27 18:35:35.627582
Advanced Study in Musical Performance | MUSIC 401,MUS Section 31,4234,9,10,10.0,2021-06-27 18:35:37.996501
Advanced Study in Musical Performance | MUSIC 401,MUS Section 32,4235,10,10,0.0,2021-06-27 18:35:40.446490
Advanced Study in Musical Performance | MUSIC 401,MUS Section 33,4236,10,10,0.0,2021-06-27 18:35:42.976041
Advanced Study in Musical Performance | MUSIC 401,MUS Section 34,4237,5,5,0.0,2021-06-27 18:35:45.435126
Advanced Study in Musical Performance | MUSIC 401,MUS Section 35,10622,10,10,0.0,2021-06-27 18:35:47.897943
Advanced Study in Vocal Music Performance | MUSIC 401-1,MUS Section 08,4238,9,10,10.0,2021-06-27 18:35:50.263159
Advanced Study in Vocal Music Performance | MUSIC 401-1,MUS Section 26,4239,10,10,0.0,2021-06-27 18:35:52.621715
Advanced Study in Vocal Music Performance | MUSIC 401-1,MUS Section 27,4240,9,10,10.0,2021-06-27 18:35:55.005248
Advanced Study in Vocal Music Performance | MUSIC 401-1,MUS Section 35,4241,10,10,0.0,2021-06-27 18:35:57.383722
Music History and Politics in Contemporary Africa | MUSIC 430,Lecture Section 01,9519,12,18,33.33333333333333,2021-06-27 18:35:59.833268
Counterpoint | MUSIC 465S,SEM Section 01,4242,12,16,25.0,2021-06-27 18:36:02.315628
Advanced Composition | MUSIC 481T,TUT Section 01,4243,3,3,0.0,2021-06-27 18:36:04.787250
Advanced Composition | MUSIC 481T,TUT Section 02,4244,15,15,0.0,2021-06-27 18:36:07.275840
Advanced Composition | MUSIC 481T,TUT Section 03,4245,15,15,0.0,2021-06-27 18:36:09.643663
Advanced Composition | MUSIC 481T,TUT Section 04,4246,4,4,0.0,2021-06-27 18:36:11.978015
Independent Study | MUSIC 491,IND Section 01,4247,3,3,0.0,2021-06-27 18:36:14.475185
Independent Study | MUSIC 491,IND Section 02,4248,3,3,0.0,2021-06-27 18:36:16.851744
